産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"144,127 ","1,242 ","1,124 ","144,245 ","7,363 ",18.8 ,162.8 ,146.1 ,16.7 ,"469,860 ","365,952 ","324,320 ","41,632 ","103,908 "
,M,T,"120,465 ",938 ,923 ,"120,480 ","2,873 ",19.0 ,166.6 ,148.1 ,18.5 ,"500,224 ","388,843 ",,,"111,381 "
,F,T,"23,662 ",304 ,201 ,"23,765 ","4,491 ",18.1 ,143.9 ,136.4 ,7.5 ,"315,604 ","249,662 ",,,"65,942 "
,,N,"136,760 ","1,145 ","1,016 ","136,882 ",-,19.0 ,165.8 ,148.4 ,17.4 ,"486,867 ","378,041 ","334,347 ","43,694 ","108,826 "
,,P,"7,367 ",97 ,107 ,"7,363 ",-,16.4 ,106.9 ,104.8 ,2.1 ,"153,924 ","141,391 ","138,063 ","3,328 ","12,533 "
,,,,,,,,,,,,,,,,
0,T,T,"121,244 ","1,009 ",930 ,"121,323 ","5,049 ",18.7 ,164.4 ,146.3 ,18.1 ,"491,997 ","377,772 ","331,037 ","46,735 ","114,225 "
,M,T,"103,181 ",774 ,772 ,"103,183 ","1,885 ",18.9 ,167.9 ,148.1 ,19.8 ,"518,772 ","398,040 ",,,"120,732 "
,F,T,"18,063 ",235 ,159 ,"18,139 ","3,165 ",17.8 ,144.7 ,136.1 ,8.6 ,"339,365 ","262,237 ",,,"77,128 "
,,N,"116,171 ",951 ,846 ,"116,273 ",-,18.9 ,167.0 ,148.2 ,18.8 ,"506,481 ","387,951 ","339,360 ","48,591 ","118,530 "
,,P,"5,073 ",58 ,84 ,"5,049 ",-,15.9 ,105.8 ,103.4 ,2.4 ,"159,362 ","144,002 ","139,881 ","4,121 ","15,360 "
,,,,,,,,,,,,,,,,
1,T,T,"13,928 ",119 ,107 ,"13,940 ",23 ,18.2 ,166.7 ,145.0 ,21.7 ,"582,699 ","427,220 ","366,457 ","60,763 ","155,479 "
,M,T,"12,565 ",100 ,90 ,"12,575 ",11 ,18.3 ,168.8 ,146.0 ,22.8 ,"595,675 ","437,089 ",,,"158,586 "
,F,T,"1,363 ",19 ,17 ,"1,365 ",13 ,17.2 ,147.9 ,136.0 ,11.9 ,"463,161 ","336,303 ",,,"126,858 "
,,N,"13,905 ",118 ,106 ,"13,917 ",-,18.2 ,166.8 ,145.1 ,21.7 ,"583,191 ","427,584 ","366,726 ","60,858 ","155,607 "
,,P,23 ,1 ,1 ,23 ,-,12.6 ,82.7 ,82.5 ,0.2 ,"287,345 ","208,633 ","204,849 ","3,784 ","78,712 "
,,,,,,,,,,,,,,,,
3,T,T,"16,971 ",167 ,180 ,"16,958 ",556 ,18.7 ,160.8 ,143.2 ,17.6 ,"560,102 ","410,483 ","352,468 ","58,015 ","149,619 "
,M,T,"14,478 ",131 ,149 ,"14,460 ",263 ,18.8 ,164.6 ,145.5 ,19.1 ,"585,820 ","430,863 ",,,"154,957 "
,F,T,"2,493 ",36 ,31 ,"2,498 ",292 ,17.6 ,138.9 ,129.9 ,9.0 ,"410,987 ","292,320 ",,,"118,667 "
,,N,"16,413 ",152 ,161 ,"16,403 ",-,18.8 ,163.8 ,145.6 ,18.2 ,"575,217 ","420,772 ","360,899 ","59,873 ","154,445 "
,,P,558 ,16 ,19 ,556 ,-,15.0 ,73.9 ,72.7 ,1.2 ,"114,460 ","107,130 ","103,889 ","3,241 ","7,330 "
,,,,,,,,,,,,,,,,
4,T,T,"30,899 ",286 ,286 ,"30,899 ",579 ,18.4 ,163.5 ,144.0 ,19.5 ,"570,292 ","418,031 ","358,777 ","59,254 ","152,261 "
,M,T,"27,043 ",231 ,238 ,"27,036 ",274 ,18.6 ,166.5 ,145.7 ,20.8 ,"590,401 ","433,757 ",,,"156,644 "
,F,T,"3,856 ",55 ,48 ,"3,863 ",305 ,17.5 ,142.1 ,132.1 ,10.0 ,"429,429 ","307,867 ",,,"121,562 "
,,N,"30,318 ",270 ,267 ,"30,320 ",-,18.5 ,165.2 ,145.4 ,19.8 ,"578,875 ","423,897 ","363,572 ","60,325 ","154,978 "
,,P,581 ,17 ,20 ,579 ,-,14.9 ,74.2 ,73.1 ,1.1 ,"121,368 ","111,186 ","107,923 ","3,263 ","10,182 "
,,,,,,,,,,,,,,,,
5,T,T,"56,113 ",421 ,345 ,"56,189 ","1,979 ",18.9 ,168.0 ,148.1 ,19.9 ,"483,365 ","377,183 ","329,249 ","47,934 ","106,182 "
,M,T,"48,328 ",336 ,298 ,"48,366 ",767 ,19.1 ,171.1 ,149.5 ,21.6 ,"509,337 ","396,968 ",,,"112,369 "
,F,T,"7,785 ",85 ,47 ,"7,823 ","1,212 ",18.0 ,148.4 ,139.0 ,9.4 ,"322,469 ","254,613 ",,,"67,856 "
,,N,"54,136 ",398 ,323 ,"54,210 ",-,19.0 ,170.0 ,149.5 ,20.5 ,"494,707 ","385,319 ","335,789 ","49,530 ","109,388 "
,,P,"1,977 ",23 ,23 ,"1,979 ",-,15.8 ,110.8 ,108.3 ,2.5 ,"172,648 ","154,289 ","150,060 ","4,229 ","18,359 "
,,,,,,,,,,,,,,,,
7,T,T,"34,232 ",302 ,299 ,"34,235 ","2,492 ",18.7 ,159.6 ,145.5 ,14.1 ,"435,487 ","342,402 ","308,934 ","33,468 ","93,085 "
,M,T,"27,811 ",207 ,235 ,"27,783 ",844 ,18.9 ,163.7 ,147.9 ,15.8 ,"465,508 ","365,161 ",,,"100,347 "
,F,T,"6,421 ",95 ,64 ,"6,452 ","1,648 ",17.9 ,141.8 ,135.1 ,6.7 ,"305,841 ","244,117 ",,,"61,724 "
,,N,"31,716 ",284 ,257 ,"31,743 ",-,18.9 ,163.5 ,148.5 ,15.0 ,"457,408 ","358,098 ","322,324 ","35,774 ","99,310 "
,,P,"2,516 ",18 ,42 ,"2,492 ",-,16.1 ,109.3 ,106.6 ,2.7 ,"157,666 ","143,476 ","139,241 ","4,235 ","14,190 "
,,,,,,,,,,,,,,,,
9,T,T,"22,883 ",234 ,194 ,"22,923 ","2,314 ",19.4 ,154.0 ,145.3 ,8.7 ,"352,636 ","303,362 ","288,754 ","14,608 ","49,274 "
,M,T,"17,284 ",164 ,151 ,"17,297 ",988 ,19.5 ,158.2 ,147.9 ,10.3 ,"389,532 ","333,957 ",,,"55,575 "
,F,T,"5,599 ",69 ,43 ,"5,625 ","1,326 ",19.0 ,141.2 ,137.2 ,4.0 ,"238,971 ","209,107 ",,,"29,864 "
,,N,"20,589 ",194 ,171 ,"20,609 ",-,19.6 ,159.1 ,149.5 ,9.6 ,"376,200 ","322,122 ","306,058 ","16,064 ","54,078 "
,,P,"2,294 ",39 ,23 ,"2,314 ",-,17.6 ,109.2 ,107.8 ,1.4 ,"141,980 ","135,657 ","134,071 ","1,586 ","6,323 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
E24,,,金属製品製造業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,36頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"582,673 ","5,915 ","5,799 ","582,789 ","53,806 ",19.2 ,158.4 ,145.9 ,12.5 ,"380,927 ","308,296 ","283,747 ","24,549 ","72,631 "
,M,T,"439,120 ","4,265 ","4,206 ","439,179 ","16,748 ",19.5 ,164.3 ,150.0 ,14.3 ,"418,255 ","336,927 ",,,"81,328 "
,F,T,"143,553 ","1,649 ","1,593 ","143,609 ","37,058 ",18.4 ,140.4 ,133.5 ,6.9 ,"266,755 ","220,725 ",,,"46,030 "
,,N,"528,698 ","5,151 ","5,082 ","528,983 ",-,19.5 ,164.0 ,150.7 ,13.3 ,"404,690 ","325,597 ","299,213 ","26,384 ","79,093 "
,,P,"53,976 ",764 ,716 ,"53,806 ",-,16.5 ,103.8 ,99.1 ,4.7 ,"147,738 ","138,515 ","131,979 ","6,536 ","9,223 "
,,,,,,,,,,,,,,,,
0,T,T,"349,067 ","3,386 ","3,362 ","349,091 ","22,132 ",19.1 ,161.9 ,147.3 ,14.6 ,"415,068 ","323,011 ","292,170 ","30,841 ","92,057 "
,M,T,"264,497 ","2,354 ","2,336 ","264,515 ","6,683 ",19.3 ,165.8 ,149.5 ,16.3 ,"453,069 ","351,155 ",,,"101,914 "
,F,T,"84,570 ","1,032 ","1,026 ","84,576 ","15,449 ",18.7 ,149.8 ,140.4 ,9.4 ,"296,219 ","234,990 ",,,"61,229 "
,,N,"326,828 ","3,152 ","3,092 ","326,958 ",-,19.2 ,164.6 ,149.7 ,14.9 ,"430,959 ","333,594 ","301,574 ","32,020 ","97,365 "
,,P,"22,239 ",234 ,270 ,"22,132 ",-,17.2 ,122.3 ,112.4 ,9.9 ,"180,922 ","167,070 ","153,599 ","13,471 ","13,852 "
,,,,,,,,,,,,,,,,
1,T,T,"10,528 ",101 ,106 ,"10,523 ",300 ,18.6 ,158.3 ,142.7 ,15.6 ,"567,018 ","424,211 ","384,830 ","39,381 ","142,807 "
,M,T,"7,781 ",68 ,76 ,"7,773 ",68 ,18.8 ,161.8 ,144.5 ,17.3 ,"615,747 ","460,733 ",,,"155,014 "
,F,T,"2,747 ",33 ,29 ,"2,751 ",232 ,18.2 ,148.7 ,137.8 ,10.9 ,"429,162 ","320,888 ",,,"108,274 "
,,N,"10,225 ",100 ,102 ,"10,223 ",-,18.7 ,159.4 ,143.3 ,16.1 ,"578,453 ","431,621 ","391,131 ","40,490 ","146,832 "
,,P,303 ,1 ,4 ,300 ,-,17.5 ,124.2 ,123.4 ,0.8 ,"178,857 ","172,663 ","170,923 ","1,740 ","6,194 "
,,,,,,,,,,,,,,,,
3,T,T,"19,878 ",153 ,159 ,"19,872 ",570 ,18.4 ,154.3 ,139.4 ,14.9 ,"496,545 ","386,077 ","343,974 ","42,103 ","110,468 "
,M,T,"15,501 ",111 ,120 ,"15,492 ",234 ,18.5 ,156.9 ,140.2 ,16.7 ,"533,467 ","414,102 ",,,"119,365 "
,F,T,"4,376 ",43 ,40 ,"4,379 ",337 ,18.1 ,145.3 ,136.8 ,8.5 ,"365,848 ","286,872 ",,,"78,976 "
,,N,"19,310 ",145 ,151 ,"19,301 ",-,18.5 ,155.0 ,139.8 ,15.2 ,"504,642 ","391,375 ","348,319 ","43,056 ","113,267 "
,,P,568 ,8 ,8 ,570 ,-,17.1 ,132.7 ,127.8 ,4.9 ,"221,909 ","206,359 ","196,595 ","9,764 ","15,550 "
,,,,,,,,,,,,,,,,
4,T,T,"30,405 ",254 ,265 ,"30,394 ",870 ,18.5 ,155.8 ,140.6 ,15.2 ,"520,945 ","399,280 ","358,120 ","41,160 ","121,665 "
,M,T,"23,282 ",179 ,196 ,"23,265 ",302 ,18.6 ,158.5 ,141.6 ,16.9 ,"560,960 ","429,683 ",,,"131,277 "
,F,T,"7,124 ",75 ,69 ,"7,130 ",568 ,18.1 ,146.7 ,137.2 ,9.5 ,"390,268 ","299,992 ",,,"90,276 "
,,N,"29,535 ",245 ,253 ,"29,524 ",-,18.5 ,156.5 ,141.0 ,15.5 ,"530,198 ","405,310 ","363,142 ","42,168 ","124,888 "
,,P,871 ,9 ,12 ,870 ,-,17.3 ,129.8 ,126.3 ,3.5 ,"207,010 ","194,698 ","187,711 ","6,987 ","12,312 "
,,,,,,,,,,,,,,,,
5,T,T,"141,366 ","1,045 ","1,138 ","141,273 ","8,571 ",18.9 ,162.8 ,145.6 ,17.2 ,"435,937 ","330,081 ","292,154 ","37,927 ","105,856 "
,M,T,"105,405 ",731 ,774 ,"105,362 ","1,574 ",19.0 ,166.5 ,148.1 ,18.4 ,"479,186 ","361,248 ",,,"117,938 "
,F,T,"35,962 ",314 ,364 ,"35,912 ","6,997 ",18.7 ,151.8 ,138.3 ,13.5 ,"309,115 ","238,686 ",,,"70,429 "
,,N,"132,647 ","1,010 ","1,022 ","132,702 ",-,19.0 ,165.2 ,147.9 ,17.3 ,"452,761 ","340,894 ","301,676 ","39,218 ","111,867 "
,,P,"8,720 ",35 ,117 ,"8,571 ",-,17.7 ,126.5 ,110.4 ,16.1 ,"177,766 ","164,143 ","146,015 ","18,128 ","13,623 "
,,,,,,,,,,,,,,,,
7,T,T,"177,295 ","2,087 ","1,959 ","177,423 ","12,691 ",19.4 ,162.3 ,149.8 ,12.5 ,"380,291 ","304,304 ","280,879 ","23,425 ","75,987 "
,M,T,"135,810 ","1,444 ","1,365 ","135,889 ","4,807 ",19.6 ,166.5 ,152.0 ,14.5 ,"414,326 ","329,872 ",,,"84,454 "
,F,T,"41,484 ",643 ,593 ,"41,534 ","7,884 ",18.8 ,148.7 ,142.7 ,6.0 ,"268,907 ","220,630 ",,,"48,277 "
,,N,"164,646 ","1,898 ","1,817 ","164,732 ",-,19.6 ,165.7 ,152.7 ,13.0 ,"395,601 ","314,854 ","290,453 ","24,401 ","80,747 "
,,P,"12,648 ",190 ,141 ,"12,691 ",-,16.9 ,119.0 ,112.9 ,6.1 ,"181,284 ","167,170 ","156,431 ","10,739 ","14,114 "
,,,,,,,,,,,,,,,,
9,T,T,"233,607 ","2,529 ","2,437 ","233,699 ","31,674 ",19.4 ,153.2 ,143.9 ,9.3 ,"329,920 ","286,311 ","271,162 ","15,149 ","43,609 "
,M,T,"174,623 ","1,911 ","1,870 ","174,664 ","10,065 ",19.8 ,162.1 ,150.7 ,11.4 ,"365,530 ","315,379 ",,,"50,151 "
,F,T,"58,984 ",617 ,567 ,"59,034 ","21,609 ",18.0 ,126.8 ,123.7 ,3.1 ,"224,529 ","200,281 ",,,"24,248 "
,,N,"201,870 ","1,998 ","1,990 ","202,025 ",-,19.9 ,163.0 ,152.4 ,10.6 ,"362,168 ","312,652 ","295,389 ","17,263 ","49,516 "
,,P,"31,737 ",530 ,446 ,"31,674 ",-,16.0 ,90.8 ,89.8 ,1.0 ,"124,516 ","118,533 ","116,849 ","1,684 ","5,983 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
E25,,,はん用機械器具製造業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,37頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"312,845 ","2,533 ","2,683 ","312,695 ","20,553 ",18.7 ,157.3 ,143.8 ,13.5 ,"501,567 ","377,721 ","346,546 ","31,175 ","123,846 "
,M,T,"252,720 ","2,021 ","2,198 ","252,543 ","6,408 ",18.9 ,161.3 ,146.3 ,15.0 ,"541,787 ","406,000 ",,,"135,787 "
,F,T,"60,125 ",512 ,485 ,"60,152 ","14,145 ",18.1 ,140.3 ,133.3 ,7.0 ,"332,612 ","258,924 ",,,"73,688 "
,,N,"292,159 ","2,321 ","2,338 ","292,141 ",-,18.8 ,160.8 ,146.5 ,14.3 ,"525,345 ","393,859 ","360,694 ","33,165 ","131,486 "
,,P,"20,686 ",212 ,345 ,"20,553 ",-,16.7 ,107.7 ,105.7 ,2.0 ,"164,660 ","149,058 ","146,079 ","2,979 ","15,602 "
,,,,,,,,,,,,,,,,
0,T,T,"258,557 ","2,184 ","2,186 ","258,555 ","14,569 ",18.6 ,158.6 ,144.1 ,14.5 ,"527,962 ","391,434 ","357,240 ","34,194 ","136,528 "
,M,T,"210,395 ","1,746 ","1,808 ","210,333 ","4,660 ",18.8 ,161.9 ,145.9 ,16.0 ,"567,792 ","419,037 ",,,"148,755 "
,F,T,"48,163 ",438 ,378 ,"48,223 ","9,909 ",18.1 ,144.0 ,136.0 ,8.0 ,"354,103 ","270,948 ",,,"83,155 "
,,N,"243,902 ","2,016 ","1,933 ","243,987 ",-,18.7 ,161.1 ,145.9 ,15.2 ,"548,732 ","405,180 ","369,158 ","36,022 ","143,552 "
,,P,"14,656 ",168 ,253 ,"14,569 ",-,17.0 ,115.0 ,112.6 ,2.4 ,"181,210 ","161,952 ","158,286 ","3,666 ","19,258 "
,,,,,,,,,,,,,,,,
1,T,T,"55,934 ",504 ,413 ,"56,025 ",525 ,18.4 ,159.3 ,142.0 ,17.3 ,"697,847 ","478,691 ","435,630 ","43,061 ","219,156 "
,M,T,"48,139 ",418 ,348 ,"48,209 ",200 ,18.6 ,161.4 ,142.9 ,18.5 ,"728,506 ","498,582 ",,,"229,924 "
,F,T,"7,795 ",86 ,65 ,"7,816 ",325 ,17.6 ,146.5 ,136.1 ,10.4 ,"508,619 ","355,923 ",,,"152,696 "
,,N,"55,410 ",493 ,403 ,"55,500 ",-,18.4 ,159.6 ,142.2 ,17.4 ,"701,667 ","480,934 ","437,656 ","43,278 ","220,733 "
,,P,524 ,11 ,10 ,525 ,-,17.1 ,125.0 ,115.9 ,9.1 ,"293,972 ","241,494 ","221,394 ","20,100 ","52,478 "
,,,,,,,,,,,,,,,,
3,T,T,"32,083 ",232 ,250 ,"32,065 ",924 ,18.5 ,157.7 ,144.1 ,13.6 ,"531,396 ","399,262 ","362,065 ","37,197 ","132,134 "
,M,T,"26,080 ",177 ,194 ,"26,063 ",295 ,18.7 ,161.2 ,146.2 ,15.0 ,"569,538 ","427,349 ",,,"142,189 "
,F,T,"6,004 ",55 ,56 ,"6,003 ",629 ,17.6 ,142.8 ,135.2 ,7.6 ,"365,743 ","277,279 ",,,"88,464 "
,,N,"31,158 ",220 ,237 ,"31,142 ",-,18.5 ,158.7 ,144.8 ,13.9 ,"540,925 ","405,594 ","367,528 ","38,066 ","135,331 "
,,P,925 ,12 ,13 ,924 ,-,17.5 ,124.7 ,120.4 ,4.3 ,"210,328 ","185,909 ","177,995 ","7,914 ","24,419 "
,,,,,,,,,,,,,,,,
4,T,T,"88,017 ",736 ,662 ,"88,091 ","1,449 ",18.4 ,158.7 ,142.7 ,16.0 ,"637,215 ","449,758 ","408,833 ","40,925 ","187,457 "
,M,T,"74,219 ",596 ,542 ,"74,273 ",495 ,18.6 ,161.3 ,144.1 ,17.2 ,"672,684 ","473,568 ",,,"199,116 "
,F,T,"13,799 ",140 ,121 ,"13,818 ",954 ,17.6 ,144.9 ,135.7 ,9.2 ,"446,505 ","321,733 ",,,"124,772 "
,,N,"86,568 ",713 ,640 ,"86,642 ",-,18.5 ,159.2 ,143.1 ,16.1 ,"643,851 ","453,836 ","412,432 ","41,404 ","190,015 "
,,P,"1,449 ",22 ,23 ,"1,449 ",-,17.3 ,124.8 ,118.8 ,6.0 ,"240,608 ","206,031 ","193,706 ","12,325 ","34,577 "
,,,,,,,,,,,,,,,,
5,T,T,"105,103 ","1,048 ",908 ,"105,243 ","6,956 ",18.6 ,159.6 ,145.0 ,14.6 ,"527,688 ","389,189 ","354,749 ","34,440 ","138,499 "
,M,T,"85,282 ",823 ,764 ,"85,341 ","1,804 ",18.8 ,162.8 ,146.9 ,15.9 ,"566,613 ","416,354 ",,,"150,259 "
,F,T,"19,820 ",225 ,144 ,"19,901 ","5,153 ",18.1 ,145.5 ,136.5 ,9.0 ,"360,483 ","272,501 ",,,"87,982 "
,,N,"98,118 ",970 ,788 ,"98,286 ",-,18.7 ,162.1 ,146.6 ,15.5 ,"551,517 ","405,004 ","368,414 ","36,590 ","146,513 "
,,P,"6,985 ",77 ,120 ,"6,956 ",-,17.6 ,125.0 ,122.0 ,3.0 ,"191,976 ","166,381 ","162,233 ","4,148 ","25,595 "
,,,,,,,,,,,,,,,,
7,T,T,"65,437 ",400 ,615 ,"65,222 ","6,164 ",18.9 ,156.6 ,144.4 ,12.2 ,"381,147 ","316,438 ","291,714 ","24,724 ","64,709 "
,M,T,"50,894 ",327 ,502 ,"50,719 ","2,361 ",19.0 ,161.0 ,146.9 ,14.1 ,"416,486 ","343,852 ",,,"72,634 "
,F,T,"14,544 ",73 ,113 ,"14,504 ","3,803 ",18.6 ,141.1 ,135.7 ,5.4 ,"257,530 ","220,542 ",,,"36,988 "
,,N,"59,215 ",332 ,505 ,"59,058 ",-,19.2 ,162.4 ,149.0 ,13.4 ,"404,809 ","334,218 ","307,020 ","27,198 ","70,591 "
,,P,"6,222 ",68 ,110 ,"6,164 ",-,16.3 ,101.3 ,100.6 ,0.7 ,"155,194 ","146,653 ","145,556 ","1,097 ","8,541 "
,,,,,,,,,,,,,,,,
9,T,T,"54,288 ",349 ,498 ,"54,139 ","5,983 ",19.0 ,151.4 ,142.7 ,8.7 ,"375,685 ","312,318 ","295,538 ","16,780 ","63,367 "
,M,T,"42,326 ",275 ,391 ,"42,210 ","1,748 ",19.3 ,158.8 ,148.5 ,10.3 ,"412,362 ","341,118 ",,,"71,244 "
,F,T,"11,962 ",74 ,107 ,"11,929 ","4,236 ",17.9 ,125.1 ,122.2 ,2.9 ,"245,907 ","210,413 ",,,"35,494 "
,,N,"48,258 ",306 ,406 ,"48,156 ",-,19.4 ,159.1 ,149.4 ,9.7 ,"406,997 ","336,570 ","317,862 ","18,708 ","70,427 "
,,P,"6,030 ",44 ,92 ,"5,983 ",-,15.8 ,89.8 ,88.8 ,1.0 ,"124,401 ","117,691 ","116,383 ","1,308 ","6,710 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
E26,,,生産用機械器具製造業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,38頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"601,001 ","5,414 ","5,429 ","600,986 ","27,279 ",19.0 ,160.9 ,146.7 ,14.2 ,"498,791 ","379,972 ","345,706 ","34,266 ","118,819 "
,M,T,"499,825 ","4,268 ","4,457 ","499,636 ","11,154 ",19.1 ,164.0 ,148.4 ,15.6 ,"527,194 ","400,707 ",,,"126,487 "
,F,T,"101,176 ","1,147 ",971 ,"101,352 ","16,126 ",18.5 ,145.5 ,138.3 ,7.2 ,"358,623 ","277,643 ",,,"80,980 "
,,N,"573,777 ","4,953 ","5,027 ","573,708 ",-,19.1 ,163.5 ,148.8 ,14.7 ,"514,636 ","390,822 ","355,154 ","35,668 ","123,814 "
,,P,"27,224 ",461 ,402 ,"27,279 ",-,16.5 ,105.9 ,103.0 ,2.9 ,"165,184 ","151,527 ","146,772 ","4,755 ","13,657 "
,,,,,,,,,,,,,,,,
0,T,T,"449,246 ","3,987 ","3,879 ","449,354 ","12,877 ",18.8 ,160.6 ,145.7 ,14.9 ,"538,296 ","399,400 ","360,294 ","39,106 ","138,896 "
,M,T,"378,194 ","3,139 ","3,170 ","378,163 ","5,034 ",18.9 ,162.9 ,146.8 ,16.1 ,"564,022 ","418,060 ",,,"145,962 "
,F,T,"71,052 ",848 ,710 ,"71,190 ","7,843 ",18.4 ,148.2 ,139.5 ,8.7 ,"401,498 ","300,174 ",,,"101,324 "
,,N,"436,366 ","3,767 ","3,655 ","436,477 ",-,18.8 ,162.1 ,146.8 ,15.3 ,"548,544 ","406,130 ","366,082 ","40,048 ","142,414 "
,,P,"12,880 ",220 ,224 ,"12,877 ",-,16.8 ,110.8 ,107.1 ,3.7 ,"190,995 ","171,328 ","164,149 ","7,179 ","19,667 "
,,,,,,,,,,,,,,,,
1,T,T,"65,670 ",582 ,610 ,"65,642 ","1,330 ",18.4 ,160.6 ,142.0 ,18.6 ,"679,587 ","464,022 ","404,851 ","59,171 ","215,565 "
,M,T,"55,814 ",475 ,519 ,"55,770 ",639 ,18.5 ,163.1 ,143.4 ,19.7 ,"712,527 ","486,538 ",,,"225,989 "
,F,T,"9,856 ",107 ,91 ,"9,872 ",691 ,17.7 ,146.3 ,133.8 ,12.5 ,"493,283 ","336,675 ",,,"156,608 "
,,N,"64,334 ",560 ,582 ,"64,312 ",-,18.4 ,161.6 ,142.7 ,18.9 ,"689,404 ","469,944 ","409,782 ","60,162 ","219,460 "
,,P,"1,336 ",22 ,28 ,"1,330 ",-,16.2 ,113.1 ,108.1 ,5.0 ,"205,901 ","178,277 ","166,933 ","11,344 ","27,624 "
,,,,,,,,,,,,,,,,
3,T,T,"57,131 ",597 ,450 ,"57,278 ","1,443 ",18.6 ,161.6 ,144.4 ,17.2 ,"610,354 ","433,287 ","388,370 ","44,917 ","177,067 "
,M,T,"48,812 ",499 ,383 ,"48,928 ",520 ,18.7 ,164.2 ,145.6 ,18.6 ,"640,352 ","454,191 ",,,"186,161 "
,F,T,"8,319 ",98 ,67 ,"8,350 ",923 ,18.1 ,146.3 ,137.0 ,9.3 ,"434,469 ","310,721 ",,,"123,748 "
,,N,"55,691 ",569 ,425 ,"55,835 ",-,18.7 ,162.8 ,145.2 ,17.6 ,"621,073 ","439,836 ","393,961 ","45,875 ","181,237 "
,,P,"1,441 ",28 ,25 ,"1,443 ",-,17.2 ,119.2 ,114.6 ,4.6 ,"195,748 ","179,986 ","172,095 ","7,891 ","15,762 "
,,,,,,,,,,,,,,,,
4,T,T,"122,801 ","1,179 ","1,060 ","122,920 ","2,773 ",18.5 ,161.1 ,143.1 ,18.0 ,"647,352 ","449,712 ","397,178 ","52,534 ","197,640 "
,M,T,"104,626 ",974 ,903 ,"104,697 ","1,159 ",18.6 ,163.7 ,144.5 ,19.2 ,"678,826 ","471,434 ",,,"207,392 "
,F,T,"18,175 ",205 ,157 ,"18,223 ","1,615 ",17.8 ,146.3 ,135.3 ,11.0 ,"466,348 ","324,789 ",,,"141,559 "
