産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
,M,T,"6,167,700 ","104,015 ","100,978 ","6,170,737 ","868,503 ",18.3 ,153.0 ,137.9 ,15.1 ,"499,902 ","389,448 ",,,"110,454 "
,F,T,"5,096,384 ","100,825 ","96,692 ","5,100,517 ","1,927,045 ",17.2 ,127.8 ,120.8 ,7.0 ,"294,760 ","242,878 ",,,"51,882 "
,,N,"8,470,446 ","124,531 ","119,239 ","8,475,706 ",-,18.9 ,159.2 ,145.1 ,14.1 ,"497,541 ","387,327 ","355,333 ","31,994 ","110,214 "
,,P,"2,793,638 ","80,309 ","78,431 ","2,795,549 ",-,14.3 ,88.1 ,84.8 ,3.3 ,"132,803 ","128,479 ","123,356 ","5,123 ","4,324 "
,,,,,,,,,,,,,,,,
7,T,T,"12,863,503 ","225,939 ","222,269 ","12,867,173 ","3,989,833 ",17.7 ,137.6 ,127.2 ,10.4 ,"345,961 ","279,691 ","261,993 ","17,698 ","66,270 "
,M,T,"6,761,656 ","109,975 ","111,685 ","6,759,946 ","1,167,337 ",18.4 ,152.1 ,137.7 ,14.4 ,"425,771 ","339,808 ",,,"85,963 "
,F,T,"6,101,846 ","115,965 ","110,584 ","6,107,227 ","2,822,496 ",16.9 ,121.7 ,115.6 ,6.1 ,"257,570 ","213,111 ",,,"44,459 "
,,N,"8,872,674 ","120,543 ","116,527 ","8,877,340 ",-,19.3 ,162.1 ,148.0 ,14.1 ,"447,494 ","353,640 ","329,308 ","24,332 ","93,854 "
,,P,"3,990,829 ","105,396 ","105,742 ","3,989,833 ",-,14.1 ,83.2 ,80.9 ,2.3 ,"120,137 ","115,219 ","112,276 ","2,943 ","4,918 "
,,,,,,,,,,,,,,,,
9,T,T,"20,213,446 ","455,840 ","419,696 ","20,249,590 ","8,236,248 ",16.9 ,125.8 ,118.6 ,7.2 ,"275,324 ","233,458 ","221,582 ","11,876 ","41,866 "
,M,T,"9,556,264 ","203,298 ","187,189 ","9,572,373 ","2,300,690 ",18.1 ,144.4 ,133.5 ,10.9 ,"355,439 ","297,460 ",,,"57,979 "
,F,T,"10,657,182 ","252,543 ","232,507 ","10,677,218 ","5,935,557 ",15.8 ,109.0 ,105.2 ,3.8 ,"203,491 ","176,072 ",,,"27,419 "
,,N,"12,001,099 ","184,634 ","176,369 ","12,013,342 ",-,19.8 ,162.2 ,151.3 ,10.9 ,"394,768 ","326,686 ","308,243 ","18,443 ","68,082 "
,,P,"8,212,347 ","271,206 ","243,327 ","8,236,248 ",-,12.8 ,72.6 ,70.9 ,1.7 ,"100,939 ","97,347 ","95,058 ","2,289 ","3,592 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
C,,,鉱業，採石業，砂利採取業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,2頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"12,444 ",124 ,108 ,"12,460 ",862 ,19.8 ,160.4 ,148.8 ,11.6 ,"469,003 ","356,529 ","330,414 ","26,115 ","112,474 "
,M,T,"10,753 ",108 ,97 ,"10,764 ",609 ,20.0 ,163.2 ,150.7 ,12.5 ,"481,917 ","367,715 ",,,"114,202 "
,F,T,"1,691 ",16 ,10 ,"1,697 ",253 ,18.4 ,142.7 ,136.4 ,6.3 ,"386,985 ","285,486 ",,,"101,499 "
,,N,"11,590 ",99 ,90 ,"11,599 ",-,20.4 ,166.8 ,154.4 ,12.4 ,"496,321 ","375,843 ","347,894 ","27,949 ","120,478 "
,,P,855 ,25 ,18 ,862 ,-,11.7 ,73.2 ,72.2 ,1.0 ,"100,033 ","95,667 ","94,318 ","1,349 ","4,366 "
,,,,,,,,,,,,,,,,
0,T,T,"5,275 ",74 ,65 ,"5,284 ",88 ,19.2 ,160.2 ,144.7 ,15.5 ,"658,567 ","468,855 ","429,225 ","39,630 ","189,712 "
,M,T,"4,506 ",63 ,57 ,"4,512 ",29 ,19.4 ,162.4 ,146.3 ,16.1 ,"676,560 ","481,337 ",,,"195,223 "
,F,T,768 ,11 ,8 ,771 ,59 ,18.3 ,146.7 ,134.9 ,11.8 ,"553,153 ","395,729 ",,,"157,424 "
,,N,"5,187 ",73 ,64 ,"5,196 ",-,19.3 ,161.3 ,145.6 ,15.7 ,"667,354 ","474,736 ","434,440 ","40,296 ","192,618 "
,,P,88 ,1 ,1 ,88 ,-,15.2 ,89.9 ,88.6 ,1.3 ,"138,921 ","121,092 ","120,882 ",210 ,"17,829 "
,,,,,,,,,,,,,,,,
1,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,M,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,F,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,
3,T,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,M,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,F,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,P,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,,,,,,,,,,,,,,
4,T,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,M,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,F,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,P,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,,,,,,,,,,,,,,
5,T,T,"1,621 ",30 ,21 ,"1,630 ",21 ,19.0 ,155.6 ,141.3 ,14.3 ,"706,395 ","495,895 ","458,155 ","37,740 ","210,500 "
,M,T,"1,419 ",27 ,18 ,"1,428 ",3 ,19.1 ,156.9 ,142.5 ,14.4 ,"730,820 ","511,018 ",,,"219,802 "
,F,T,202 ,4 ,3 ,203 ,19 ,18.1 ,146.8 ,132.8 ,14.0 ,"534,398 ","389,401 ",,,"144,997 "
,,N,"1,599 ",30 ,21 ,"1,609 ",-,19.0 ,156.0 ,141.5 ,14.5 ,"713,011 ","500,113 ","461,874 ","38,239 ","212,898 "
,,P,22 ,0 ,0 ,21 ,-,18.2 ,125.1 ,124.7 ,0.4 ,"213,741 ","181,791 ","181,215 ",576 ,"31,950 "
,,,,,,,,,,,,,,,,
7,T,T,"2,871 ",25 ,25 ,"2,871 ",66 ,19.5 ,163.9 ,149.1 ,14.8 ,"504,425 ","380,694 ","340,814 ","39,880 ","123,731 "
,M,T,"2,539 ",22 ,23 ,"2,538 ",26 ,19.7 ,166.6 ,150.8 ,15.8 ,"524,721 ","395,306 ",,,"129,415 "
,F,T,333 ,3 ,2 ,334 ,41 ,17.9 ,143.8 ,136.3 ,7.5 ,"349,711 ","269,310 ",,,"80,401 "
,,N,"2,805 ",24 ,24 ,"2,806 ",-,19.6 ,165.9 ,150.8 ,15.1 ,"513,632 ","387,292 ","346,472 ","40,820 ","126,340 "
,,P,66 ,1 ,0 ,66 ,-,14.2 ,78.4 ,76.8 ,1.6 ,"114,593 ","101,355 ","101,264 ",91 ,"13,238 "
,,,,,,,,,,,,,,,,
9,T,T,"7,170 ",50 ,43 ,"7,177 ",774 ,20.2 ,160.6 ,151.8 ,8.8 ,"329,491 ","273,861 ","257,692 ","16,169 ","55,630 "
,M,T,"6,247 ",45 ,41 ,"6,251 ",581 ,20.5 ,163.7 ,153.9 ,9.8 ,"341,457 ","285,722 ",,,"55,735 "
,F,T,923 ,5 ,2 ,926 ,194 ,18.4 ,139.3 ,137.6 ,1.7 ,"248,582 ","193,663 ",,,"54,919 "
,,N,"6,403 ",26 ,26 ,"6,403 ",-,21.3 ,171.3 ,161.6 ,9.7 ,"357,642 ","295,657 ","277,720 ","17,937 ","61,985 "
,,P,767 ,24 ,17 ,774 ,-,11.3 ,71.3 ,70.4 ,0.9 ,"95,603 ","92,771 ","91,292 ","1,479 ","2,832 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
D,,,建設業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,3頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"2,580,118 ","34,728 ","28,966 ","2,585,880 ","142,910 ",19.6 ,159.8 ,147.0 ,12.8 ,"462,801 ","365,900 ","339,278 ","26,622 ","96,901 "
,M,T,"2,067,223 ","26,908 ","22,859 ","2,071,272 ","43,684 ",20.0 ,165.2 ,150.7 ,14.5 ,"499,433 ","394,294 ",,,"105,139 "
,F,T,"512,894 ","7,820 ","6,107 ","514,607 ","99,226 ",18.2 ,137.9 ,132.0 ,5.9 ,"315,264 ","251,540 ",,,"63,724 "
,,N,"2,438,041 ","30,578 ","25,750 ","2,442,969 ",-,20.0 ,164.3 ,150.8 ,13.5 ,"482,340 ","380,234 ","352,240 ","27,994 ","102,106 "
,,P,"142,077 ","4,150 ","3,216 ","142,910 ",-,14.0 ,83.1 ,81.5 ,1.6 ,"128,152 ","120,400 ","117,280 ","3,120 ","7,752 "
,,,,,,,,,,,,,,,,
0,T,T,"999,422 ","12,216 ","11,247 ","1,000,391 ","33,524 ",19.1 ,160.8 ,144.6 ,16.2 ,"563,804 ","414,856 ","378,523 ","36,333 ","148,948 "
,M,T,"803,850 ","9,186 ","8,924 ","804,112 ","10,759 ",19.3 ,164.9 ,146.9 ,18.0 ,"606,329 ","445,477 ",,,"160,852 "
,F,T,"195,572 ","3,030 ","2,323 ","196,279 ","22,765 ",18.2 ,143.8 ,135.1 ,8.7 ,"389,302 ","289,203 ",,,"100,099 "
,,N,"965,787 ","11,606 ","10,534 ","966,867 ",-,19.3 ,163.2 ,146.5 ,16.7 ,"578,006 ","424,209 ","386,750 ","37,459 ","153,797 "
,,P,"33,635 ",610 ,714 ,"33,524 ",-,14.6 ,92.2 ,90.2 ,2.0 ,"155,101 ","145,711 ","141,781 ","3,930 ","9,390 "
,,,,,,,,,,,,,,,,
1,T,T,"58,779 ",775 ,711 ,"58,843 ",274 ,18.9 ,163.7 ,142.2 ,21.5 ,"818,758 ","570,593 ","513,172 ","57,421 ","248,165 "
,M,T,"48,881 ",619 ,601 ,"48,899 ",156 ,19.1 ,166.5 ,143.8 ,22.7 ,"858,719 ","598,268 ",,,"260,451 "
,F,T,"9,899 ",156 ,109 ,"9,946 ",117 ,18.0 ,149.5 ,134.1 ,15.4 ,"621,839 ","434,220 ",,,"187,619 "
,,N,"58,503 ",762 ,695 ,"58,570 ",-,18.9 ,164.0 ,142.4 ,21.6 ,"821,378 ","572,131 ","514,482 ","57,649 ","249,247 "
,,P,277 ,13 ,15 ,274 ,-,14.7 ,104.7 ,101.1 ,3.6 ,"261,378 ","243,488 ","234,503 ","8,985 ","17,890 "
,,,,,,,,,,,,,,,,
3,T,T,"45,869 ",663 ,612 ,"45,920 ",465 ,18.8 ,163.4 ,142.8 ,20.6 ,"765,160 ","521,891 ","473,153 ","48,738 ","243,269 "
,M,T,"37,419 ",527 ,509 ,"37,437 ",203 ,19.0 ,166.4 ,144.3 ,22.1 ,"816,714 ","555,433 ",,,"261,281 "
,F,T,"8,449 ",137 ,103 ,"8,483 ",262 ,18.2 ,150.0 ,136.3 ,13.7 ,"537,234 ","373,600 ",,,"163,634 "
,,N,"45,406 ",653 ,604 ,"45,455 ",-,18.9 ,164.0 ,143.3 ,20.7 ,"770,989 ","525,440 ","476,266 ","49,174 ","245,549 "
,,P,463 ,10 ,8 ,465 ,-,15.0 ,97.8 ,94.5 ,3.3 ,"194,253 ","174,326 ","168,300 ","6,026 ","19,927 "
,,,,,,,,,,,,,,,,
4,T,T,"104,648 ","1,438 ","1,323 ","104,763 ",739 ,18.9 ,163.6 ,142.5 ,21.1 ,"795,265 ","549,246 ","495,631 ","53,615 ","246,019 "
,M,T,"86,300 ","1,146 ","1,110 ","86,336 ",359 ,19.0 ,166.4 ,144.0 ,22.4 ,"840,505 ","579,694 ",,,"260,811 "
,F,T,"18,348 ",292 ,212 ,"18,428 ",379 ,18.1 ,149.8 ,135.1 ,14.7 ,"582,885 ","406,309 ",,,"176,576 "
,,N,"103,908 ","1,415 ","1,299 ","104,024 ",-,18.9 ,164.0 ,142.8 ,21.2 ,"799,359 ","551,728 ","497,782 ","53,946 ","247,631 "
,,P,740 ,23 ,24 ,739 ,-,14.9 ,100.4 ,97.0 ,3.4 ,"219,242 ","200,073 ","192,945 ","7,128 ","19,169 "
,,,,,,,,,,,,,,,,
5,T,T,"320,985 ","3,776 ","3,821 ","320,940 ","20,740 ",18.8 ,158.7 ,141.9 ,16.8 ,"557,584 ","418,936 ","383,724 ","35,212 ","138,648 "
,M,T,"250,782 ","2,862 ","3,074 ","250,570 ","6,578 ",19.0 ,164.3 ,145.6 ,18.7 ,"612,428 ","458,087 ",,,"154,341 "
,F,T,"70,203 ",914 ,747 ,"70,370 ","14,163 ",17.8 ,138.7 ,128.7 ,10.0 ,"361,983 ","279,305 ",,,"82,678 "
,,N,"300,161 ","3,576 ","3,544 ","300,200 ",-,19.1 ,163.6 ,145.8 ,17.8 ,"586,743 ","439,089 ","401,677 ","37,412 ","147,654 "
,,P,"20,824 ",200 ,277 ,"20,740 ",-,14.5 ,87.9 ,85.8 ,2.1 ,"136,412 ","127,853 ","124,415 ","3,438 ","8,559 "
,,,,,,,,,,,,,,,,
7,T,T,"573,789 ","7,002 ","6,104 ","574,687 ","12,045 ",19.3 ,161.5 ,146.5 ,15.0 ,"525,076 ","388,071 ","354,262 ","33,809 ","137,005 "
,M,T,"466,767 ","5,178 ","4,740 ","467,205 ","3,822 ",19.5 ,165.1 ,148.2 ,16.9 ,"559,769 ","413,899 ",,,"145,870 "
,F,T,"107,022 ","1,824 ","1,364 ","107,482 ","8,223 ",18.4 ,146.2 ,139.3 ,6.9 ,"374,018 ","275,613 ",,,"98,405 "
,,N,"561,718 ","6,614 ","5,691 ","562,642 ",-,19.4 ,162.9 ,147.6 ,15.3 ,"532,405 ","392,681 ","358,246 ","34,435 ","139,724 "
,,P,"12,072 ",388 ,413 ,"12,045 ",-,14.8 ,98.9 ,97.3 ,1.6 ,"183,379 ","173,157 ","168,573 ","4,584 ","10,222 "
,,,,,,,,,,,,,,,,
9,T,T,"1,580,696 ","22,512 ","17,719 ","1,585,489 ","109,386 ",20.0 ,159.1 ,148.5 ,10.6 ,"399,007 ","334,979 ","314,491 ","20,488 ","64,028 "
,M,T,"1,263,373 ","17,722 ","13,935 ","1,267,160 ","32,925 ",20.4 ,165.5 ,153.2 ,12.3 ,"431,508 ","361,771 ",,,"69,737 "
,F,T,"317,322 ","4,790 ","3,784 ","318,328 ","76,461 ",18.2 ,134.3 ,130.1 ,4.2 ,"269,622 ","228,322 ",,,"41,300 "
,,N,"1,472,254 ","18,972 ","15,216 ","1,476,103 ",-,20.4 ,165.0 ,153.7 ,11.3 ,"419,632 ","351,409 ","329,619 ","21,790 ","68,223 "
,,P,"108,441 ","3,540 ","2,503 ","109,386 ",-,13.8 ,80.4 ,78.9 ,1.5 ,"119,844 ","112,597 ","109,726 ","2,871 ","7,247 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
E,,,製造業,,令和 7年,C1月分,,,,,,,（ 確 報 ）,確  原  表　―,,4頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"7,669,720 ","81,975 ","80,217 ","7,671,478 ","997,262 ",18.7 ,155.5 ,142.1 ,13.4 ,"430,282 ","335,931 ","304,192 ","31,739 ","94,351 "
,M,T,"5,334,073 ","50,786 ","51,149 ","5,333,710 ","259,333 ",19.0 ,162.5 ,146.8 ,15.7 ,"499,083 ","384,235 ",,,"114,848 "
,F,T,"2,335,647 ","31,190 ","29,068 ","2,337,769 ","737,929 ",18.1 ,139.3 ,131.2 ,8.1 ,"273,231 ","225,668 ",,,"47,563 "
