産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 7年,12月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
7,T,T,"12,808,323 ","171,730 ","152,054 ","12,827,999 ","3,943,163 ",17.7 ,138.0 ,127.4 ,10.6 ,"622,212 ","284,372 ","265,706 ","18,666 ","337,840 "
,M,T,"6,738,122 ","73,102 ","74,842 ","6,736,382 ","1,162,940 ",18.5 ,152.4 ,137.8 ,14.6 ,"776,014 ","344,858 ",,,"431,156 "
,F,T,"6,070,201 ","98,628 ","77,212 ","6,091,617 ","2,780,223 ",16.9 ,122.1 ,115.9 ,6.2 ,"451,810 ","217,357 ",,,"234,453 "
,,N,"8,874,248 ","84,271 ","74,223 ","8,884,836 ",-,19.3 ,161.9 ,147.7 ,14.2 ,"834,027 ","357,628 ","332,087 ","25,541 ","476,399 "
,,P,"3,934,075 ","87,459 ","77,831 ","3,943,163 ",-,14.2 ,84.2 ,81.7 ,2.5 ,"144,680 ","119,217 ","116,049 ","3,168 ","25,463 "
,,,,,,,,,,,,,,,,
9,T,T,"20,436,481 ","357,768 ","319,982 ","20,474,267 ","8,446,860 ",16.9 ,125.8 ,118.5 ,7.3 ,"437,193 ","235,846 ","223,551 ","12,295 ","201,347 "
,M,T,"9,632,345 ","154,038 ","144,183 ","9,642,200 ","2,371,040 ",18.2 ,145.1 ,133.9 ,11.2 ,"579,026 ","300,338 ",,,"278,688 "
,F,T,"10,804,136 ","203,730 ","175,799 ","10,832,067 ","6,075,820 ",15.8 ,108.6 ,104.7 ,3.9 ,"310,842 ","178,394 ",,,"132,448 "
,,N,"12,035,063 ","117,026 ","128,962 ","12,027,407 ",-,19.9 ,163.2 ,152.0 ,11.2 ,"662,470 ","331,238 ","312,027 ","19,211 ","331,232 "
,,P,"8,401,418 ","240,742 ","191,020 ","8,446,860 ",-,12.8 ,72.3 ,70.6 ,1.7 ,"115,457 ","99,609 ","97,191 ","2,418 ","15,848 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
C,,,鉱業，採石業，砂利採取業,,令和 7年,12月分,,,,,,,（ 確 報 ）,確  原  表　―,,2頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"12,465 ",43 ,48 ,"12,460 ",889 ,19.9 ,163.5 ,153.9 ,9.6 ,"955,948 ","360,358 ","337,476 ","22,882 ","595,590 "
,M,T,"10,665 ",34 ,43 ,"10,656 ",648 ,20.0 ,165.7 ,155.5 ,10.2 ,"981,696 ","372,200 ",,,"609,496 "
,F,T,"1,800 ",9 ,5 ,"1,804 ",241 ,19.1 ,150.6 ,144.6 ,6.0 ,"803,627 ","290,305 ",,,"513,322 "
,,N,"11,578 ",43 ,48 ,"11,571 ",-,20.6 ,170.8 ,160.4 ,10.4 ,"1,021,188 ","381,225 ","356,600 ","24,625 ","639,963 "
,,P,887 ,0 ,0 ,889 ,-,10.7 ,69.4 ,69.3 ,0.1 ,"105,589 ","88,378 ","88,220 ",158 ,"17,211 "
,,,,,,,,,,,,,,,,
0,T,T,"5,276 ",40 ,48 ,"5,268 ",94 ,19.0 ,156.6 ,142.1 ,14.5 ,"1,503,272 ","475,752 ","437,171 ","38,581 ","1,027,520 "
,M,T,"4,535 ",31 ,43 ,"4,523 ",31 ,19.1 ,158.8 ,143.8 ,15.0 ,"1,542,276 ","485,824 ",,,"1,056,452 "
,F,T,741 ,9 ,5 ,745 ,63 ,18.1 ,142.8 ,131.8 ,11.0 ,"1,265,523 ","414,361 ",,,"851,162 "
,,N,"5,183 ",40 ,48 ,"5,174 ",-,19.0 ,157.8 ,143.1 ,14.7 ,"1,526,516 ","482,180 ","442,916 ","39,264 ","1,044,336 "
,,P,93 ,0 ,0 ,94 ,-,15.5 ,86.5 ,86.1 ,0.4 ,"215,914 ","119,754 ","118,995 ",759 ,"96,160 "
,,,,,,,,,,,,,,,,
1,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,M,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,F,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,
3,T,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,M,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,F,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*
