,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,,,,,,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）
00401,201904B     ,            ,  ,,1,,2019年4月,108.6,26.5,7.6,8.0,3.6,4.0,4.8,17.2,7.8,11.6,-,108.6,27.0,7.8,7.8,3.7,4.0,4.8,17.2,7.0,11.5
00401,201905B     ,            ,  ,,1,,2019年5月,108.1,27.5,8.7,7.8,4.3,4.2,4.7,17.6,3.9,11.8,-,108.1,28.1,8.9,7.6,4.3,4.2,4.7,17.5,3.5,11.8
00401,201906B     ,            ,  ,,1,,2019年6月,101.8,26.6,8.5,6.4,4.5,3.9,5.0,17.1,2.3,11.0,-,102.0,27.1,8.6,6.3,4.6,4.0,5.0,17.2,2.1,11.0
00401,201907B     ,            ,  ,,1,,2019年7月,103.8,27.5,8.4,6.0,5.0,3.7,5.1,17.7,2.4,11.1,-,104.1,27.9,8.6,5.9,5.2,3.8,5.1,17.7,2.2,11.1
00401,201908B     ,            ,  ,,1,,2019年8月,107.1,29.6,7.6,6.2,5.0,3.2,5.1,18.3,2.2,12.2,-,107.0,30.0,7.7,6.1,5.2,3.3,5.1,18.2,2.0,12.0
00401,201909B     ,            ,  ,,1,,2019年9月,109.6,27.2,8.4,6.6,5.8,3.6,5.5,18.8,4.7,11.8,-,109.4,27.4,8.5,6.5,5.9,3.6,5.5,18.9,4.2,11.8
00401,201910B     ,            ,  ,,1,,2019年10月,100.5,26.3,7.6,6.3,3.4,3.6,4.8,17.0,4.6,10.4,-,100.0,26.3,7.6,6.3,3.4,3.6,4.8,16.9,4.5,10.1
00401,201911B     ,            ,  ,,1,,2019年11月,99.9,26.7,7.9,6.4,3.8,4.5,5.2,16.5,2.4,10.7,-,99.3,26.8,7.9,6.2,3.8,4.4,5.2,16.4,2.3,10.5
00401,201912B     ,            ,  ,,1,,2019年12月,115.7,33.8,8.7,7.6,4.8,4.5,5.3,17.4,2.3,12.6,-,115.1,34.0,8.7,7.4,4.8,4.5,5.3,17.2,2.3,12.3
00401,202001B     ,            ,  ,,1,,2020年1月,102.7,25.8,7.6,8.7,3.5,4.3,4.8,15.7,2.3,10.6,19.5,102.1,25.7,7.6,8.5,3.5,4.4,4.8,15.5,2.3,10.5
00401,202002B     ,            ,  ,,1,,2020年2月,98.8,25.5,7.8,9.3,3.6,3.0,4.8,17.4,2.5,9.6,15.3,98.5,25.6,7.8,9.1,3.7,3.1,4.8,17.2,2.4,9.5
00401,202003B     ,            ,  ,,1,,2020年3月,105.0,26.9,7.8,9.0,3.9,3.4,4.9,19.1,4.3,9.1,16.7,104.6,27.1,7.8,8.8,3.9,3.4,4.9,18.9,4.2,9.0
00401,202004B     ,            ,  ,,1,,2020年4月,95.1,24.7,7.8,8.4,3.5,1.8,4.5,15.2,7.6,7.8,13.9,94.9,24.7,7.8,8.3,3.5,1.8,4.5,15.3,7.6,7.6
00401,202005B     ,            ,  ,,1,,2020年5月,90.0,26.1,7.1,7.3,4.5,2.7,4.4,13.6,3.3,7.6,13.5,89.8,26.0,7.1,7.2,4.5,2.7,4.4,13.8,3.3,7.4
00401,202006B     ,            ,  ,,1,,2020年6月,99.1,25.9,8.2,6.7,5.9,3.8,5.0,15.9,2.2,8.9,16.6,99.2,25.9,8.2,6.7,5.9,3.7,5.0,16.1,2.2,8.8
00401,202007B     ,            ,  ,,1,,2020年7月,95.8,26.6,7.8,6.0,5.6,3.1,5.2,14.8,2.3,9.0,15.5,95.8,26.6,7.8,6.0,5.6,3.1,5.1,14.8,2.3,8.9
00401,202008B     ,            ,  ,,1,,2020年8月,99.4,28.3,8.0,6.3,5.4,2.6,5.1,16.3,2.3,9.7,15.3,99.3,28.0,8.0,6.4,5.4,2.7,5.1,16.3,2.4,9.7
00401,202009B     ,            ,  ,,1,,2020年9月,96.8,26.3,7.9,6.6,4.4,2.7,4.7,16.3,4.6,9.1,14.3,96.9,26.2,7.9,6.7,4.4,2.7,4.7,16.3,4.6,9.2
00401,202010B     ,            ,  ,,1,,2020年10月,102.8,26.9,8.9,6.5,4.5,3.7,5.4,17.0,5.1,9.9,14.9,103.0,26.8,8.9,6.7,4.4,3.7,5.4,17.0,5.2,10.1
00401,202011B     ,            ,  ,,1,,2020年11月,101.0,26.7,9.1,6.5,4.4,3.8,5.2,17.2,3.0,9.7,15.2,101.6,26.9,9.1,6.7,4.3,3.7,5.2,17.2,3.0,10.0
00401,202012B     ,            ,  ,,1,,2020年12月,113.4,32.8,9.2,7.2,5.4,4.1,5.2,16.9,2.7,11.1,18.7,114.3,33.2,9.2,7.5,5.3,4.0,5.3,17.0,2.8,11.3
00401,202101B     ,            ,  ,,1,,2021年1月,96.1,24.6,7.6,8.5,4.0,3.1,4.6,15.9,2.4,8.4,16.9,96.3,24.6,7.5,8.9,3.9,3.1,4.7,15.9,2.4,8.4
00401,202102B     ,            ,  ,,1,,2021年2月,91.0,24.1,7.5,8.9,3.6,2.5,4.5,15.3,2.8,8.0,13.9,91.2,24.2,7.4,9.2,3.6,2.5,4.5,15.2,2.8,8.0
00401,202103B     ,            ,  ,,1,,2021年3月,110.8,26.5,9.8,9.0,4.4,3.6,5.1,19.5,4.9,10.0,17.8,110.9,26.7,9.7,9.3,4.3,3.6,5.1,19.5,4.9,10.0
00401,202104B     ,            ,  ,,1,,2021年4月,105.7,25.4,9.2,7.6,4.0,3.4,4.9,17.3,8.2,9.9,15.9,106.9,25.7,9.1,7.7,3.9,3.3,4.9,18.6,8.1,9.7
00401,202105B     ,            ,  ,,1,,2021年5月,99.1,26.4,8.6,6.9,4.5,3.1,4.9,16.8,3.7,9.0,15.4,99.9,26.5,8.4,6.9,4.4,3.1,4.9,18.0,3.6,8.8
00401,202106B     ,            ,  ,,1,,2021年6月,94.8,25.6,8.7,6.3,4.8,3.3,5.1,15.1,2.2,8.9,14.8,95.4,25.6,8.6,6.2,4.7,3.2,5.1,16.2,2.2,8.8
00401,202107B     ,            ,  ,,1,,2021年7月,97.6,27.0,8.4,5.8,5.3,3.1,5.0,16.2,2.1,9.3,15.3,98.0,27.2,8.2,5.7,5.2,3.1,5.0,17.2,2.1,9.1
00401,202108B     ,            ,  ,,1,,2021年8月,95.5,27.2,8.5,6.4,4.8,2.2,4.9,15.0,2.2,9.4,14.9,95.9,27.2,8.4,6.3,4.7,2.2,4.9,15.9,2.2,9.1
