産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 8年,1月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
,M,T,"1,205,911 ","7,541 ","12,922 ","1,200,530 ","237,893 ",15.8 ,124.9 ,113.5 ,11.4 ,"422,947 ","401,646 ",,,"21,301 "
,F,T,"1,007,823 ","9,511 ","17,974 ","999,360 ","347,319 ",14.7 ,111.1 ,101.5 ,9.6 ,"316,289 ","300,286 ",,,"16,003 "
,,N,"1,617,590 ","5,383 ","8,235 ","1,614,678 ",-,17.6 ,144.9 ,130.8 ,14.1 ,"473,106 ","449,406 ","439,667 ","9,739 ","23,700 "
,,P,"596,144 ","11,669 ","22,661 ","585,212 ",-,9.0 ,46.8 ,45.9 ,0.9 ,"104,488 ","98,755 ","97,772 ",983 ,"5,733 "
,,,,,,,,,,,,,,,,
1,T,T,"205,335 ","4,412 ","7,787 ","201,960 ","86,042 ",13.5 ,94.3 ,90.5 ,3.8 ,"336,672 ","329,836 ","318,868 ","10,968 ","6,836 "
,M,T,"120,604 ","2,671 ","4,603 ","118,672 ","43,061 ",13.4 ,95.5 ,92.1 ,3.4 ,"390,975 ","381,896 ",,,"9,079 "
,F,T,"84,731 ","1,741 ","3,184 ","83,288 ","42,981 ",13.6 ,92.4 ,88.2 ,4.2 ,"259,340 ","255,699 ",,,"3,641 "
,,N,"116,256 ",573 ,909 ,"115,918 ",-,17.5 ,134.5 ,128.5 ,6.0 ,"531,177 ","519,460 ","501,133 ","18,327 ","11,717 "
,,P,"89,079 ","3,839 ","6,878 ","86,042 ",-,8.1 ,40.9 ,40.1 ,0.8 ,"78,799 ","78,435 ","77,224 ","1,211 ",364 
,,,,,,,,,,,,,,,,
3,T,T,"207,354 ","3,057 ","4,133 ","206,278 ","73,612 ",14.2 ,104.9 ,99.9 ,5.0 ,"369,926 ","345,183 ","332,567 ","12,616 ","24,743 "
,M,T,"119,425 ","1,690 ","2,155 ","118,960 ","33,051 ",14.5 ,109.4 ,103.9 ,5.5 ,"438,157 ","403,279 ",,,"34,878 "
,F,T,"87,929 ","1,367 ","1,978 ","87,318 ","40,561 ",13.9 ,98.7 ,94.4 ,4.3 ,"277,112 ","266,156 ",,,"10,956 "
,,N,"132,838 ",710 ,895 ,"132,666 ",-,17.5 ,138.1 ,130.9 ,7.2 ,"524,813 ","486,854 ","468,203 ","18,651 ","37,959 "
,,P,"74,516 ","2,347 ","3,238 ","73,612 ",-,8.3 ,45.2 ,44.1 ,1.1 ,"92,306 ","91,252 ","89,452 ","1,800 ","1,054 "
,,,,,,,,,,,,,,,,
4,T,T,"412,689 ","7,469 ","11,920 ","408,238 ","159,654 ",13.8 ,99.6 ,95.2 ,4.4 ,"353,427 ","337,569 ","325,771 ","11,798 ","15,858 "
,M,T,"240,029 ","4,361 ","6,758 ","237,632 ","76,112 ",13.9 ,102.4 ,98.0 ,4.4 ,"414,521 ","392,567 ",,,"21,954 "
,F,T,"172,660 ","3,108 ","5,162 ","170,606 ","83,542 ",13.7 ,95.7 ,91.4 ,4.3 ,"268,414 ","261,038 ",,,"7,376 "
,,N,"249,094 ","1,283 ","1,804 ","248,584 ",-,17.5 ,136.4 ,129.8 ,6.6 ,"527,782 ","502,065 ","483,565 ","18,500 ","25,717 "
,,P,"163,595 ","6,186 ","10,116 ","159,654 ",-,8.2 ,42.9 ,42.0 ,0.9 ,"84,988 ","84,308 ","82,827 ","1,481 ",680 
,,,,,,,,,,,,,,,,
5,T,T,"568,954 ","5,746 ","7,828 ","566,872 ","191,929 ",14.4 ,106.3 ,101.3 ,5.0 ,"349,615 ","341,764 ","332,020 ","9,744 ","7,851 "
,M,T,"300,324 ","2,401 ","2,995 ","299,730 ","79,089 ",15.0 ,112.2 ,106.9 ,5.3 ,"409,348 ","397,298 ",,,"12,050 "
,F,T,"268,630 ","3,345 ","4,833 ","267,142 ","112,840 ",13.8 ,99.6 ,95.0 ,4.6 ,"282,715 ","279,567 ",,,"3,148 "
,,N,"375,512 ","1,461 ","1,959 ","374,943 ",-,17.8 ,139.5 ,132.4 ,7.1 ,"477,491 ","466,496 ","452,420 ","14,076 ","10,995 "
,,P,"193,442 ","4,285 ","5,869 ","191,929 ",-,8.0 ,41.4 ,40.7 ,0.7 ,"100,593 ","98,865 ","97,558 ","1,307 ","1,728 "
,,,,,,,,,,,,,,,,
7,T,T,"1,232,091 ","3,837 ","11,148 ","1,224,780 ","233,629 ",16.2 ,130.8 ,115.5 ,15.3 ,"392,941 ","367,932 ","363,094 ","4,838 ","25,009 "
,M,T,"665,558 ",779 ,"3,169 ","663,168 ","82,692 ",16.9 ,138.8 ,122.1 ,16.7 ,"432,116 ","406,873 ",,,"25,243 "
,F,T,"566,533 ","3,058 ","7,979 ","561,612 ","150,937 ",15.4 ,121.1 ,107.6 ,13.5 ,"346,802 ","322,069 ",,,"24,733 "
,,N,"992,984 ","2,639 ","4,472 ","991,151 ",-,17.6 ,149.1 ,130.4 ,18.7 ,"457,734 ","429,734 ","423,834 ","5,900 ","28,000 "
,,P,"239,107 ","1,198 ","6,676 ","233,629 ",-,10.3 ,53.8 ,52.8 ,1.0 ,"120,998 ","108,543 ","108,164 ",379 ,"12,455 "
,,,,,,,,,,,,,,,,
9,T,T,"1,080,333 ","13,690 ","14,210 ","1,079,813 ","510,570 ",14.1 ,101.8 ,95.6 ,6.2 ,"239,794 ","230,496 ","226,746 ","3,750 ","9,298 "
,M,T,"398,000 ","6,573 ","6,246 ","398,327 ","174,693 ",14.1 ,103.9 ,95.5 ,8.4 ,"269,421 ","257,987 ",,,"11,434 "
,F,T,"682,333 ","7,117 ","7,964 ","681,486 ","335,877 ",14.2 ,100.7 ,95.7 ,5.0 ,"222,494 ","214,444 ",,,"8,050 "
,,N,"570,394 ","4,182 ","5,681 ","569,243 ",-,17.6 ,147.1 ,135.7 ,11.4 ,"377,543 ","362,858 ","356,237 ","6,621 ","14,685 "
,,P,"509,939 ","9,508 ","8,529 ","510,570 ",-,10.3 ,51.4 ,50.9 ,0.5 ,"85,965 ","82,684 ","82,140 ",544 ,"3,281 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
P,,,医療，福祉,,令和 8年,1月分,,,,,,,（ 確 報 ）,確  原  表　―,,15頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"8,483,927 ","90,156 ","119,492 ","8,454,591 ","2,872,988 ",16.4 ,122.7 ,117.8 ,4.9 ,"279,005 ","269,503 ","254,621 ","14,882 ","9,502 "
,M,T,"2,069,015 ","26,370 ","26,343 ","2,069,042 ","527,282 ",16.8 ,131.1 ,124.4 ,6.7 ,"370,643 ","360,842 ",,,"9,801 "
,F,T,"6,414,912 ","63,786 ","93,149 ","6,385,549 ","2,345,706 ",16.3 ,119.9 ,115.6 ,4.3 ,"249,380 ","239,975 ",,,"9,405 "
,,N,"5,612,131 ","41,536 ","74,202 ","5,581,603 ",-,18.5 ,148.8 ,142.0 ,6.8 ,"355,380 ","342,722 ","321,557 ","21,165 ","12,658 "
,,P,"2,871,796 ","48,620 ","45,290 ","2,872,988 ",-,12.4 ,71.7 ,70.5 ,1.2 ,"130,188 ","126,836 ","124,197 ","2,639 ","3,352 "
,,,,,,,,,,,,,,,,
0,T,T,"5,140,518 ","47,933 ","74,312 ","5,114,139 ","1,317,006 ",17.0 ,131.2 ,125.2 ,6.0 ,"317,638 ","307,243 ","286,800 ","20,443 ","10,395 "
,M,T,"1,472,680 ","15,580 ","19,163 ","1,469,097 ","304,590 ",17.1 ,135.8 ,128.0 ,7.8 ,"406,660 ","395,665 ",,,"10,995 "
,F,T,"3,667,838 ","32,353 ","55,149 ","3,645,042 ","1,012,416 ",17.0 ,129.3 ,124.1 ,5.2 ,"281,827 ","271,674 ",,,"10,153 "
,,N,"3,825,408 ","23,335 ","52,608 ","3,797,133 ",-,18.5 ,149.6 ,142.0 ,7.6 ,"374,977 ","362,253 ","335,958 ","26,295 ","12,724 "
,,P,"1,315,110 ","24,598 ","21,704 ","1,317,006 ",-,12.8 ,77.7 ,76.4 ,1.3 ,"151,586 ","147,936 ","144,442 ","3,494 ","3,650 "
,,,,,,,,,,,,,,,,
1,T,T,"595,975 ","3,985 ","6,100 ","593,860 ","78,966 ",17.6 ,145.6 ,133.3 ,12.3 ,"433,093 ","408,433 ","358,771 ","49,662 ","24,660 "
,M,T,"174,597 ","1,565 ","1,555 ","174,607 ","20,059 ",17.7 ,152.0 ,135.0 ,17.0 ,"564,421 ","536,803 ",,,"27,618 "
,F,T,"421,378 ","2,420 ","4,545 ","419,253 ","58,907 ",17.6 ,142.9 ,132.6 ,10.3 ,"378,538 ","355,107 ",,,"23,431 "
,,N,"516,912 ","2,766 ","4,761 ","514,894 ",-,18.1 ,153.4 ,139.9 ,13.5 ,"466,978 ","440,433 ","385,156 ","55,277 ","26,545 "
,,P,"79,063 ","1,219 ","1,339 ","78,966 ",-,14.2 ,94.4 ,90.0 ,4.4 ,"211,852 ","199,498 ","186,495 ","13,003 ","12,354 "
,,,,,,,,,,,,,,,,
3,T,T,"594,988 ","3,868 ","6,936 ","591,920 ","102,227 ",17.3 ,138.5 ,130.1 ,8.4 ,"401,072 ","387,374 ","352,288 ","35,086 ","13,698 "
,M,T,"167,389 ","1,319 ","1,729 ","166,979 ","25,037 ",17.1 ,140.7 ,129.1 ,11.6 ,"557,268 ","540,852 ",,,"16,416 "
,F,T,"427,599 ","2,549 ","5,207 ","424,941 ","77,190 ",17.4 ,137.7 ,130.5 ,7.2 ,"339,811 ","327,179 ",,,"12,632 "
,,N,"492,217 ","2,295 ","4,850 ","489,693 ",-,18.2 ,149.9 ,140.1 ,9.8 ,"444,112 ","428,750 ","387,820 ","40,930 ","15,362 "
,,P,"102,771 ","1,573 ","2,086 ","102,227 ",-,13.0 ,84.3 ,82.3 ,2.0 ,"194,919 ","189,188 ","182,091 ","7,097 ","5,731 "
,,,,,,,,,,,,,,,,
4,T,T,"1,190,963 ","7,853 ","13,036 ","1,185,780 ","181,193 ",17.5 ,142.1 ,131.7 ,10.4 ,"417,102 ","397,916 ","355,533 ","42,383 ","19,186 "
,M,T,"341,986 ","2,884 ","3,284 ","341,586 ","45,096 ",17.4 ,146.5 ,132.1 ,14.4 ,"560,923 ","538,784 ",,,"22,139 "
,F,T,"848,977 ","4,969 ","9,752 ","844,194 ","136,097 ",17.5 ,140.3 ,131.5 ,8.8 ,"359,039 ","341,045 ",,,"17,994 "
,,N,"1,009,129 ","5,061 ","9,611 ","1,004,587 ",-,18.2 ,151.7 ,140.0 ,11.7 ,"455,828 ","434,736 ","386,455 ","48,281 ","21,092 "
,,P,"181,834 ","2,792 ","3,425 ","181,193 ",-,13.5 ,88.7 ,85.6 ,3.1 ,"202,290 ","193,676 ","184,008 ","9,668 ","8,614 "
,,,,,,,,,,,,,,,,
5,T,T,"1,970,007 ","19,055 ","24,046 ","1,965,016 ","495,015 ",16.8 ,128.7 ,124.0 ,4.7 ,"319,463 ","310,083 ","292,286 ","17,797 ","9,380 "
,M,T,"600,202 ","6,290 ","5,725 ","600,767 ","140,343 ",16.5 ,128.3 ,122.7 ,5.6 ,"398,082 ","390,606 ",,,"7,476 "
,F,T,"1,369,805 ","12,765 ","18,321 ","1,364,249 ","354,672 ",16.9 ,129.0 ,124.6 ,4.4 ,"284,929 ","274,712 ",,,"10,217 "
,,N,"1,477,820 ","9,608 ","17,442 ","1,470,001 ",-,18.5 ,147.4 ,141.6 ,5.8 ,"375,717 ","363,830 ","341,389 ","22,441 ","11,887 "
,,P,"492,187 ","9,447 ","6,604 ","495,015 ",-,11.8 ,72.8 ,71.4 ,1.4 ,"151,486 ","149,591 ","145,660 ","3,931 ","1,895 "
,,,,,,,,,,,,,,,,
7,T,T,"1,979,548 ","21,025 ","37,230 ","1,963,343 ","640,798 ",17.0 ,127.1 ,122.5 ,4.6 ,"255,860 ","249,752 ","239,895 ","9,857 ","6,108 "
,M,T,"530,492 ","6,406 ","10,154 ","526,744 ","119,151 ",17.6 ,137.4 ,131.3 ,6.1 ,"316,663 ","308,875 ",,,"7,788 "
,F,T,"1,449,056 ","14,619 ","27,076 ","1,436,599 ","521,647 ",16.8 ,123.3 ,119.3 ,4.0 ,"233,583 ","228,090 ",,,"5,493 "
,,N,"1,338,459 ","8,666 ","25,555 ","1,322,545 ",-,18.7 ,150.5 ,144.1 ,6.4 ,"312,972 ","305,654 ","291,728 ","13,926 ","7,318 "
,,P,"641,089 ","12,359 ","11,675 ","640,798 ",-,13.4 ,78.4 ,77.7 ,0.7 ,"137,304 ","133,707 ","132,297 ","1,410 ","3,597 "
,,,,,,,,,,,,,,,,
9,T,T,"3,343,409 ","42,223 ","45,180 ","3,340,452 ","1,555,982 ",15.5 ,109.5 ,106.3 ,3.2 ,"219,733 ","211,601 ","205,251 ","6,350 ","8,132 "
,M,T,"596,335 ","10,790 ","7,180 ","599,945 ","222,692 ",16.1 ,119.6 ,115.7 ,3.9 ,"282,075 ","275,211 ",,,"6,864 "
,F,T,"2,747,074 ","31,433 ","38,000 ","2,740,507 ","1,333,290 ",15.4 ,107.3 ,104.3 ,3.0 ,"206,142 ","197,734 ",,,"8,408 "
,,N,"1,786,723 ","18,201 ","21,594 ","1,784,470 ",-,18.6 ,146.8 ,141.8 ,5.0 ,"313,551 ","301,034 ","290,819 ","10,215 ","12,517 "
,,P,"1,556,686 ","24,022 ","23,586 ","1,555,982 ",-,12.0 ,66.7 ,65.6 ,1.1 ,"112,094 ","108,993 ","107,078 ","1,915 ","3,101 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
Q,,,複合サービス事業,,令和 8年,1月分,,,,,,,（ 確 報 ）,確  原  表　―,,16頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"343,080 ","1,421 ","2,379 ","342,122 ","53,206 ",18.2 ,143.2 ,134.4 ,8.8 ,"330,456 ","322,703 ","305,900 ","16,803 ","7,753 "
,M,T,"204,563 ",596 ,"1,016 ","204,143 ","15,023 ",18.6 ,151.8 ,139.5 ,12.3 ,"382,855 ","373,386 ",,,"9,469 "
,F,T,"138,517 ",825 ,"1,363 ","137,979 ","38,183 ",17.5 ,130.5 ,126.8 ,3.7 ,"253,000 ","247,785 ",,,"5,215 "
,,N,"289,314 ",959 ,"1,341 ","288,916 ",-,18.4 ,149.7 ,140.1 ,9.6 ,"361,119 ","352,115 ","333,672 ","18,443 ","9,004 "
,,P,"53,766 ",462 ,"1,038 ","53,206 ",-,16.6 ,108.6 ,103.7 ,4.9 ,"164,702 ","163,716 ","155,777 ","7,939 ",986 
,,,,,,,,,,,,,,,,
0,T,T,"205,629 ",932 ,"1,540 ","205,021 ","35,055 ",18.4 ,145.8 ,133.5 ,12.3 ,"334,964 ","329,680 ","306,683 ","22,997 ","5,284 "
,M,T,"141,999 ",466 ,863 ,"141,602 ","12,853 ",18.7 ,154.1 ,138.8 ,15.3 ,"377,470 ","371,315 ",,,"6,155 "
,F,T,"63,630 ",466 ,677 ,"63,419 ","22,202 ",17.7 ,127.3 ,121.8 ,5.5 ,"240,083 ","236,742 ",,,"3,341 "
,,N,"170,022 ",780 ,820 ,"169,966 ",-,18.6 ,153.6 ,140.2 ,13.4 ,"370,331 ","364,058 ","338,561 ","25,497 ","6,273 "
,,P,"35,607 ",152 ,720 ,"35,055 ",-,17.5 ,108.4 ,101.7 ,6.7 ,"164,799 ","164,271 ","153,306 ","10,965 ",528 
,,,,,,,,,,,,,,,,
1,T,T,"7,298 ",31 ,32 ,"7,297 ","1,612 ",18.9 ,153.6 ,137.4 ,16.2 ,"410,599 ","410,272 ","366,405 ","43,867 ",327 
,M,T,"5,001 ",18 ,13 ,"5,006 ",729 ,19.0 ,159.3 ,140.8 ,18.5 ,"456,470 ","456,206 ",,,264 
,F,T,"2,297 ",13 ,19 ,"2,291 ",883 ,18.8 ,141.5 ,130.1 ,11.4 ,"310,550 ","310,085 ",,,465 
,,N,"5,680 ",22 ,17 ,"5,685 ",-,18.4 ,160.1 ,141.2 ,18.9 ,"474,630 ","474,210 ","423,179 ","51,031 ",420 
,,P,"1,618 ",9 ,15 ,"1,612 ",-,20.9 ,130.9 ,124.1 ,6.8 ,"185,305 ","185,305 ","166,645 ","18,660 ",0 
,,,,,,,,,,,,,,,,
3,T,T,"25,269 ",78 ,575 ,"24,772 ","5,720 ",18.0 ,147.3 ,133.4 ,13.9 ,"325,811 ","325,629 ","299,768 ","25,861 ",182 
,M,T,"18,700 ",55 ,296 ,"18,459 ","2,899 ",18.3 ,154.0 ,137.6 ,16.4 ,"356,348 ","356,125 ",,,223 
,F,T,"6,569 ",23 ,279 ,"6,313 ","2,821 ",17.2 ,128.0 ,121.2 ,6.8 ,"237,723 ","237,658 ",,,65 
,,N,"19,114 ",52 ,119 ,"19,052 ",-,18.4 ,156.8 ,140.5 ,16.3 ,"372,723 ","372,486 ","341,474 ","31,012 ",237 
,,P,"6,155 ",26 ,456 ,"5,720 ",-,16.8 ,116.8 ,110.5 ,6.3 ,"175,037 ","175,030 ","165,724 ","9,306 ",7 
,,,,,,,,,,,,,,,,
4,T,T,"32,567 ",109 ,607 ,"32,069 ","7,332 ",18.2 ,148.7 ,134.3 ,14.4 ,"344,956 ","344,741 ","314,814 ","29,927 ",215 
,M,T,"23,701 ",73 ,309 ,"23,465 ","3,628 ",18.5 ,155.1 ,138.3 ,16.8 ,"377,591 ","377,359 ",,,232 
,F,T,"8,866 ",36 ,298 ,"8,604 ","3,704 ",17.6 ,131.6 ,123.6 ,8.0 ,"256,849 ","256,679 ",,,170 
,,N,"24,794 ",74 ,136 ,"24,737 ",-,18.4 ,157.6 ,140.7 ,16.9 ,"396,106 ","395,827 ","360,222 ","35,605 ",279 
,,P,"7,773 ",35 ,471 ,"7,332 ",-,17.7 ,119.8 ,113.4 ,6.4 ,"177,233 ","177,227 ","165,920 ","11,307 ",6 
,,,,,,,,,,,,,,,,
5,T,T,"129,954 ",668 ,687 ,"129,935 ","24,347 ",18.4 ,144.0 ,132.1 ,11.9 ,"330,782 ","323,582 ","301,988 ","21,594 ","7,200 "
,M,T,"88,318 ",325 ,308 ,"88,335 ","8,319 ",18.7 ,153.1 ,138.2 ,14.9 ,"377,056 ","368,434 ",,,"8,622 "
,F,T,"41,636 ",343 ,379 ,"41,600 ","16,028 ",17.7 ,124.8 ,119.3 ,5.5 ,"232,576 ","228,392 ",,,"4,184 "
,,N,"105,453 ",573 ,438 ,"105,588 ",-,18.6 ,152.8 ,139.9 ,12.9 ,"369,774 ","361,083 ","337,256 ","23,827 ","8,691 "
,,P,"24,501 ",95 ,249 ,"24,347 ",-,17.4 ,106.3 ,98.8 ,7.5 ,"162,325 ","161,565 ","149,619 ","11,946 ",760 
,,,,,,,,,,,,,,,,
7,T,T,"43,108 ",155 ,246 ,"43,017 ","3,376 ",18.6 ,149.1 ,137.2 ,11.9 ,"340,082 ","336,777 ","314,749 ","22,028 ","3,305 "
,M,T,"29,980 ",68 ,246 ,"29,802 ",906 ,18.9 ,156.6 ,141.1 ,15.5 ,"378,595 ","375,058 ",,,"3,537 "
,F,T,"13,128 ",87 ,0 ,"13,215 ","2,470 ",18.0 ,131.9 ,128.2 ,3.7 ,"252,683 ","249,904 ",,,"2,779 "
,,N,"39,775 ",133 ,246 ,"39,641 ",-,18.8 ,153.3 ,140.6 ,12.7 ,"355,734 ","352,150 ","328,519 ","23,631 ","3,584 "
,,P,"3,333 ",22 ,0 ,"3,376 ",-,17.2 ,97.7 ,95.9 ,1.8 ,"154,818 ","154,808 ","151,756 ","3,052 ",10 
,,,,,,,,,,,,,,,,
9,T,T,"137,451 ",489 ,839 ,"137,101 ","18,151 ",17.8 ,139.4 ,135.7 ,3.7 ,"323,712 ","312,267 ","304,728 ","7,539 ","11,445 "
,M,T,"62,564 ",130 ,153 ,"62,541 ","2,170 ",18.4 ,146.7 ,141.2 ,5.5 ,"395,063 ","378,080 ",,,"16,983 "
,F,T,"74,887 ",359 ,686 ,"74,560 ","15,981 ",17.2 ,133.2 ,131.1 ,2.1 ,"263,982 ","257,173 ",,,"6,809 "
,,N,"119,292 ",179 ,521 ,"118,950 ",-,18.2 ,144.0 ,140.0 ,4.0 ,"347,975 ","335,072 ","326,696 ","8,376 ","12,903 "
,,P,"18,159 ",310 ,318 ,"18,151 ",-,14.9 ,108.9 ,107.7 ,1.2 ,"164,514 ","162,635 ","160,586 ","2,049 ","1,879 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
R,,,サービス業（他に分類されないも,,令和 8年,1月分,,,,,,,（ 確 報 ）,確  原  表　―,,17頁
,,,の）,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"4,785,150 ","106,987 ","123,812 ","4,768,325 ","1,419,048 ",16.9 ,130.6 ,120.9 ,9.7 ,"256,711 ","250,384 ","231,414 ","18,970 ","6,327 "
,M,T,"2,640,513 ","51,250 ","56,335 ","2,635,428 ","484,012 ",17.5 ,144.0 ,130.9 ,13.1 ,"307,182 ","298,349 ",,,"8,833 "
,F,T,"2,144,637 ","55,737 ","67,477 ","2,132,897 ","935,036 ",16.1 ,114.1 ,108.6 ,5.5 ,"194,461 ","191,223 ",,,"3,238 "
,,N,"3,362,517 ","68,319 ","81,960 ","3,349,277 ",-,18.0 ,150.1 ,137.5 ,12.6 ,"313,774 ","305,143 ","280,267 ","24,876 ","8,631 "
,,P,"1,422,633 ","38,668 ","41,852 ","1,419,048 ",-,14.2 ,84.8 ,81.9 ,2.9 ,"121,935 ","121,047 ","116,027 ","5,020 ",888 
,,,,,,,,,,,,,,,,
0,T,T,"3,697,711 ","89,307 ","111,043 ","3,675,975 ","1,147,093 ",16.8 ,129.8 ,119.8 ,10.0 ,"249,045 ","244,588 ","225,127 ","19,461 ","4,457 "
,M,T,"1,923,692 ","41,715 ","48,147 ","1,917,260 ","376,848 ",17.5 ,144.0 ,130.1 ,13.9 ,"299,671 ","293,548 ",,,"6,123 "
,F,T,"1,774,019 ","47,592 ","62,896 ","1,758,715 ","770,245 ",16.1 ,114.7 ,108.8 ,5.9 ,"194,001 ","191,356 ",,,"2,645 "
,,N,"2,541,155 ","59,849 ","72,795 ","2,528,882 ",-,17.9 ,149.6 ,136.5 ,13.1 ,"305,393 ","299,251 ","273,475 ","25,776 ","6,142 "
,,P,"1,156,556 ","29,458 ","38,248 ","1,147,093 ",-,14.4 ,86.3 ,83.1 ,3.2 ,"125,030 ","124,282 ","118,721 ","5,561 ",748 
,,,,,,,,,,,,,,,,
1,T,T,"452,118 ","14,395 ","18,870 ","447,643 ","140,396 ",16.6 ,131.8 ,122.4 ,9.4 ,"254,353 ","248,158 ","229,760 ","18,398 ","6,195 "
,M,T,"166,902 ","4,846 ","6,408 ","165,340 ","34,283 ",17.1 ,145.3 ,130.7 ,14.6 ,"320,871 ","309,807 ",,,"11,064 "
,F,T,"285,216 ","9,549 ","12,462 ","282,303 ","106,113 ",16.3 ,123.9 ,117.5 ,6.4 ,"215,412 ","212,067 ",,,"3,345 "
,,N,"310,562 ","9,610 ","13,049 ","307,247 ",-,17.5 ,147.9 ,135.9 ,12.0 ,"303,422 ","294,810 ","271,385 ","23,425 ","8,612 "
,,P,"141,556 ","4,785 ","5,821 ","140,396 ",-,14.6 ,96.5 ,92.7 ,3.8 ,"146,836 ","145,936 ","138,551 ","7,385 ",900 
,,,,,,,,,,,,,,,,
3,T,T,"775,395 ","24,916 ","28,363 ","771,948 ","240,456 ",16.6 ,126.9 ,117.2 ,9.7 ,"234,079 ","230,614 ","212,082 ","18,532 ","3,465 "
,M,T,"334,311 ","9,115 ","11,274 ","332,152 ","68,369 ",17.2 ,141.0 ,126.1 ,14.9 ,"287,658 ","282,175 ",,,"5,483 "
,F,T,"441,084 ","15,801 ","17,089 ","439,796 ","172,087 ",16.1 ,116.3 ,110.4 ,5.9 ,"193,543 ","191,604 ",,,"1,939 "
,,N,"534,570 ","17,543 ","21,040 ","531,492 ",-,17.6 ,146.1 ,133.3 ,12.8 ,"285,236 ","280,505 ","255,664 ","24,841 ","4,731 "
,,P,"240,825 ","7,373 ","7,323 ","240,456 ",-,14.3 ,84.3 ,81.4 ,2.9 ,"120,765 ","120,104 ","115,546 ","4,558 ",661 
,,,,,,,,,,,,,,,,
4,T,T,"1,227,513 ","39,311 ","47,233 ","1,219,591 ","380,852 ",16.6 ,128.7 ,119.1 ,9.6 ,"241,534 ","237,065 ","218,582 ","18,483 ","4,469 "
,M,T,"501,213 ","13,961 ","17,682 ","497,492 ","102,652 ",17.2 ,142.4 ,127.6 ,14.8 ,"298,706 ","291,367 ",,,"7,339 "
,F,T,"726,300 ","25,350 ","29,551 ","722,099 ","278,200 ",16.2 ,119.3 ,113.2 ,6.1 ,"202,112 ","199,622 ",,,"2,490 "
,,N,"845,132 ","27,153 ","34,089 ","838,739 ",-,17.6 ,146.8 ,134.3 ,12.5 ,"291,908 ","285,753 ","261,432 ","24,321 ","6,155 "
,,P,"382,381 ","12,158 ","13,144 ","380,852 ",-,14.4 ,88.8 ,85.6 ,3.2 ,"130,397 ","129,647 ","124,045 ","5,602 ",750 
,,,,,,,,,,,,,,,,
5,T,T,"1,470,073 ","33,338 ","45,413 ","1,457,998 ","527,082 ",16.5 ,124.6 ,115.2 ,9.4 ,"237,954 ","235,601 ","216,261 ","19,340 ","2,353 "
,M,T,"772,848 ","16,673 ","20,588 ","768,933 ","178,988 ",17.2 ,139.8 ,126.9 ,12.9 ,"289,236 ","286,075 ",,,"3,161 "
,F,T,"697,225 ","16,665 ","24,825 ","689,065 ","348,094 ",15.7 ,107.7 ,102.1 ,5.6 ,"180,920 ","179,467 ",,,"1,453 "
