産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
TL,,,調　査　産　業　計,,令和 8年,1月分,,,,,,,（ 確 報 ）,確  原  表　―,,1頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
7,T,T,"12,771,188 ","141,727 ","187,761 ","12,725,154 ","3,926,910 ",16.9 ,131.6 ,121.3 ,10.3 ,"292,315 ","282,770 ","265,210 ","17,560 ","9,545 "
,M,T,"6,743,719 ","70,397 ","85,229 ","6,728,887 ","1,153,731 ",17.6 ,144.8 ,130.8 ,14.0 ,"355,933 ","344,015 ",,,"11,918 "
,F,T,"6,027,469 ","71,330 ","102,532 ","5,996,267 ","2,773,179 ",16.2 ,116.9 ,110.7 ,6.2 ,"221,031 ","214,144 ",,,"6,887 "
,,N,"8,827,657 ","70,639 ","101,756 ","8,798,244 ",-,18.3 ,153.9 ,140.1 ,13.8 ,"369,895 ","357,034 ","333,069 ","23,965 ","12,861 "
,,P,"3,943,531 ","71,088 ","86,005 ","3,926,910 ",-,13.9 ,81.7 ,79.2 ,2.5 ,"118,572 ","116,453 ","113,237 ","3,216 ","2,119 "
,,,,,,,,,,,,,,,,
9,T,T,"20,471,529 ","321,696 ","338,161 ","20,455,064 ","8,460,505 ",15.9 ,117.5 ,110.8 ,6.7 ,"243,097 ","234,643 ","222,966 ","11,677 ","8,454 "
,M,T,"9,598,827 ","143,582 ","146,577 ","9,595,832 ","2,331,116 ",17.0 ,134.8 ,124.5 ,10.3 ,"311,767 ","300,663 ",,,"11,104 "
,F,T,"10,872,702 ","178,114 ","191,584 ","10,859,232 ","6,129,389 ",14.9 ,102.2 ,98.6 ,3.6 ,"182,446 ","176,332 ",,,"6,114 "
,,N,"12,011,553 ","122,972 ","142,587 ","11,994,559 ",-,18.5 ,151.8 ,141.4 ,10.4 ,"345,563 ","332,219 ","313,911 ","18,308 ","13,344 "
,,P,"8,459,976 ","198,724 ","195,574 ","8,460,505 ",-,12.2 ,69.0 ,67.4 ,1.6 ,"97,724 ","96,207 ","93,939 ","2,268 ","1,517 "
,,,,,,,,,,,,,,,,
産   業,,,,,,,毎月勤労統計調査全国調査結果原表,,,,,,,,,
C,,,鉱業，採石業，砂利採取業,,令和 8年,1月分,,,,,,,（ 確 報 ）,確  原  表　―,,2頁
,,,,,,,,,,,,,,,,
"規

模",,"形

態",常　　　用　　　労　　　働　　　者　　　数　　　　,,,,,"出　勤
日　数",実　労　働　時　間　数,,,現　　　　金　　　　給　　　　与　　　　額,,,,
,性,,前調査期間末,本月中の増加,本月中の減少,本調査期間末,,,総    数,所定内,所定外,総　　　　額,"きまって支
給する給与",所定内給与,超過労働給与,"特別に支払
われた給与"
,,,,,,,パートタイム労働者数,,,,,,,,,
,,,人,人,人,人,人,日,時間,時間,時間,円,円,円,円,円
T,T,T,"12,446 ",56 ,157 ,"12,345 ","1,419 ",18.3 ,153.0 ,138.5 ,14.5 ,"378,089 ","375,336 ","340,651 ","34,685 ","2,753 "
,M,T,"10,465 ",41 ,149 ,"10,357 ","1,263 ",18.3 ,154.3 ,139.2 ,15.1 ,"390,067 ","386,853 ",,,"3,214 "
,F,T,"1,981 ",15 ,8 ,"1,988 ",156 ,18.1 ,146.1 ,134.9 ,11.2 ,"315,250 ","314,917 ",,,333 
,,N,"11,027 ",56 ,157 ,"10,926 ",-,19.4 ,164.7 ,148.4 ,16.3 ,"414,084 ","410,975 ","371,900 ","39,075 ","3,109 "
,,P,"1,419 ",0 ,0 ,"1,419 ",-,10.1 ,62.9 ,61.9 ,1.0 ,"99,655 ","99,655 ","98,928 ",727 ,0 
,,,,,,,,,,,,,,,,
0,T,T,"5,268 ",46 ,82 ,"5,232 ",100 ,18.3 ,151.1 ,134.9 ,16.2 ,"501,093 ","494,593 ","454,197 ","40,396 ","6,500 "
,M,T,"4,426 ",41 ,74 ,"4,393 ",36 ,18.5 ,153.9 ,136.9 ,17.0 ,"514,796 ","507,207 ",,,"7,589 "
,F,T,842 ,5 ,8 ,839 ,64 ,17.3 ,136.6 ,124.2 ,12.4 ,"429,202 ","428,416 ",,,786 
,,N,"5,168 ",46 ,82 ,"5,132 ",-,18.4 ,152.6 ,136.1 ,16.5 ,"508,469 ","501,843 ","460,669 ","41,174 ","6,626 "
,,P,100 ,0 ,0 ,100 ,-,13.6 ,71.4 ,71.0 ,0.4 ,"121,210 ","121,210 ","120,890 ",320 ,0 
,,,,,,,,,,,,,,,,
1,T,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,M,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,F,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,
3,T,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,M,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,F,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,P,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,,,,,,,,,,,,,,
4,T,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,M,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,F,T,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,P,*,*,*,*,*,*,*,*,*,*,*,*,*,*
,,,,,,,,,,,,,,,,
5,T,T,"1,665 ",24 ,17 ,"1,672 ",9 ,18.5 ,151.8 ,136.6 ,15.2 ,"512,749 ","492,297 ","454,837 ","37,460 ","20,452 "
,M,T,"1,474 ",20 ,15 ,"1,479 ",3 ,18.6 ,153.1 ,137.6 ,15.5 ,"526,645 ","503,981 ",,,"22,664 "
,F,T,191 ,4 ,2 ,193 ,6 ,17.6 ,142.1 ,128.8 ,13.3 ,"405,891 ","402,448 ",,,"3,443 "
,,N,"1,656 ",24 ,17 ,"1,663 ",-,18.5 ,152.0 ,136.7 ,15.3 ,"514,487 ","493,924 ","456,262 ","37,662 ","20,563 "
