official_code,existing_key,display_name,hierarchy,start_month,missing_policy,transform_type,source,classification
"0060","家具・家事用品","家具・家事用品","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0061","家庭用耐久財","家庭用耐久財","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0066","室内装備品","室内装備品","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0070","寝具類","寝具類","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0073","家事雑貨","家事雑貨","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0077","家事用消耗品","家事用消耗品","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0081","家事サービス","家事サービス","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0082","被服及び履物","被服及び履物","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0083","衣料","衣料","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0084","和服","和服","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0085","洋服","洋服","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0089","シャツ・セーター・下着類","シャツ・セーター・下着類","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0090","シャツ・セーター類","シャツ・セーター類","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0094","下着類","下着類","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0098","履物類","履物類","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0103","他の被服","他の被服","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0106","被服関連サービス","被服関連サービス","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0107","保健医療","保健医療","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0108","医薬品・健康保持用摂取品","医薬品・健康保持用摂取品","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0109","保健医療用品・器具","保健医療用品・器具","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0110","保健医療サービス","保健医療サービス","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0111","交通・通信","交通・通信","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0112","交通","交通","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0113","自動車等関係費","自動車等関係費","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0117","通信","通信","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0118","教育","教育","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0119","授業料等","授業料等","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0120","教科書・学習参考教材","教科書・学習参考教材","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0121","補習教育","補習教育","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0122","教養娯楽","教養娯楽","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0123","教養娯楽用耐久財","教養娯楽用耐久財","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0128","教養娯楽用品","教養娯楽用品","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0134","書籍・他の印刷物","書籍・他の印刷物","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0138","教養娯楽サービス","教養娯楽サービス","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0145","諸雑費","諸雑費","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0146","理美容サービス","理美容サービス","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0147","理美容用品","理美容用品","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0151","身の回り用品","身の回り用品","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0155","たばこ","たばこ","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0156","他の諸雑費","他の諸雑費","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0167","エネルギー","エネルギー","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0162","教育関係費","教育関係費","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0173","教養娯楽関係費","教養娯楽関係費","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
"0169","情報通信関係費","情報通信関係費","","1970-01","preserve_missing","direct","e-Stat 0004052037; 総務省統計局 消費者物価指数（2025年基準）","2025年基準品目"
