"時間軸（暦年）","民間最終消費支出"
1994,254258.9
1995,260451.1
1996,265517.5
1997,266917.9
1998,265305
1999,268276.6
2000,272531.7
2001,278002.1
2002,281579.3
2003,283209.4
2004,286834.2
2005,291545.8
2006,294529.3
2007,296747.3
2008,293584.2
2009,290749.8
2010,297800.4
2011,295981.3
2012,302390.4
2013,310927.8
2014,308798.3
2015,308861
2016,307754.8
2017,310601.4
2018,311176.1
2019,308642.1
2020,293314.5
2021,299007.4
2022,305760.9
2023,306017.4
2024,304203.6
2025,308122.2
