時間軸コード,月,消費支出（名目）,食料（名目）,住居（名目）,光熱・水道（名目）,家具・家事用品（名目）,被服及び履物（名目）,保健医療（名目）,交通・通信（名目）,教育（名目）,教養娯楽（名目）,その他の消費支出（名目）,消費支出（実質）,食料（実質）,住居（実質）,光熱・水道（実質）,家具・家事用品（実質）,被服及び履物（実質）,保健医療（実質）,交通・通信（実質）,教育（実質）,教養娯楽（実質）,その他の消費支出（実質）
2019000303,2019年3月,100.805,24.1976,6.817,8.1188,3.5079,3.9861,4.4101,18.7226,4.3097,10.2274,-,115.3375,31.1023,7.9175,9.1634,4.418,4.5245,4.6228,18.648,3.7938,11.9062,-
2019000404,2019年4月,95.5452,23.4199,6.5075,7.0887,3.1953,3.5532,4.1744,15.3467,6.8527,10.1398,-,108.9455,30.1028,7.5406,8.0189,3.9941,3.9524,4.3711,15.3008,6.0006,11.655,-
2019000505,2019年5月,95.4356,24.3453,7.5117,6.9001,3.7539,3.6807,4.1161,15.7672,3.5515,10.2717,-,108.8206,31.252,8.6941,7.8232,4.6574,4.0988,4.3101,15.7044,3.1071,11.8748,-
2019000606,2019年6月,89.844,23.5319,7.4311,5.6898,3.9302,3.4861,4.3461,15.1184,2.1201,9.6939,-,102.6788,30.1305,8.5909,6.4731,4.9128,3.8994,4.5556,15.1944,1.8548,11.2068,-
2019000707,2019年7月,91.6549,24.3188,7.1548,5.3361,4.4528,3.2641,4.4327,15.952,2.218,9.7918,-,104.7484,31.138,8.2619,6.0984,5.5869,3.7304,4.6416,15.952,1.9405,11.3726,-
2019000808,2019年8月,94.4011,26.177,6.6142,5.463,4.4465,2.8335,4.4793,16.0452,2.0466,10.7427,-,107.6409,33.4317,7.6377,6.2721,5.572,3.2757,4.6904,16.0292,1.7921,12.1524,-
2019000909,2019年9月,97.0695,24.1266,7.2781,5.8333,5.1478,3.1857,4.837,16.9756,4.2203,10.3631,-,110.5575,30.54,8.3946,6.7359,6.4268,3.5358,5.0702,17.0781,3.6923,11.9529,-
2019001010,2019年10月,87.9932,23.3224,6.5496,5.6273,3.0179,3.2168,4.2327,14.3937,4.1242,9.0886,-,99.8788,29.4103,7.4258,6.5055,3.6759,3.5157,4.3953,14.3078,3.9391,10.2581,-
2019001111,2019年11月,88.2201,23.7541,6.8134,5.7252,3.3846,3.9104,4.5733,14.598,2.1932,9.383,-,100.0227,29.9926,7.7162,6.5207,4.1276,4.2551,4.754,14.4965,2.0947,10.6383,-
2019001212,2019年12月,102.176,29.9574,7.417,6.7849,4.2584,4.0034,4.7605,15.421,2.178,11.0532,-,115.8458,37.9208,8.3903,7.7365,5.2123,4.4042,4.9641,15.2532,2.0802,12.4754,-
2020000101,2020年1月,91.0559,22.844,6.7453,7.7037,3.0562,3.7818,4.268,13.8991,2.0739,9.4002,17.2833,103.238,28.6985,7.6391,8.7642,3.7316,4.3123,4.4413,13.6802,1.9639,10.7925,19.5956
2020000202,2020年2月,87.6285,22.6249,6.9379,8.2306,3.2166,2.6685,4.2562,15.4439,2.1999,8.4852,13.5655,99.5778,28.5668,7.8483,9.385,3.9467,3.0392,4.429,15.2608,2.0852,9.7196,15.4153
2020000303,2020年3月,93.1151,23.895,6.905,7.9532,3.4321,3.0347,4.3489,16.9202,3.7661,8.0577,14.802,105.8126,30.2086,7.8199,9.0687,4.2216,3.3907,4.516,16.7859,3.5698,9.1878,16.8205
2020000404,2020年4月,84.3639,21.9404,6.9021,7.4463,3.0615,1.6102,4.0121,13.4495,6.717,6.8763,12.348,95.9772,27.5287,7.799,8.5787,3.7519,1.7656,4.1749,13.5991,6.5532,7.814,14.0477
2020000505,2020年5月,79.8915,23.1425,6.3257,6.4762,3.9923,2.3778,3.9261,12.0777,2.8779,6.7221,11.9727,90.9926,29.0371,7.1477,7.5042,4.8746,2.613,4.0855,12.2492,2.8187,7.6128,13.6364
2020000606,2020年6月,88.0112,23.0173,7.2741,5.9886,5.2643,3.3322,4.4244,14.1207,1.9647,7.922,14.7029,100.4694,28.989,8.2287,6.9634,6.3965,3.682,4.604,14.2778,1.928,9.0641,16.7841
2020000707,2020年7月,85.1408,23.643,6.9448,5.3291,4.9879,2.7562,4.5798,13.1685,2.0051,7.9833,13.743,97.0818,29.7023,7.8561,6.2402,6.068,3.1074,4.7657,13.1817,1.9619,9.1762,15.6705
2020000808,2020年8月,88.3645,25.167,7.0628,5.6252,4.8129,2.351,4.5347,14.5425,2.0788,8.599,13.5905,100.643,31.3412,7.9896,6.6023,5.8837,2.6807,4.7335,14.4846,2.0361,9.9872,15.479
2020000909,2020年9月,86.1664,23.4218,7.0152,5.8732,3.9491,2.3996,4.1663,14.4691,4.0751,8.0864,12.7106,98.3635,29.3139,7.9358,6.9506,4.8101,2.6196,4.349,14.4836,3.9873,9.5134,14.5098
2020001010,2020年10月,91.5471,23.923,7.8669,5.8088,3.9687,3.3315,4.8344,15.1318,4.582,8.8081,13.292,104.6252,29.9787,8.8993,6.9152,4.7873,3.6251,5.0569,15.1621,4.4833,10.3991,15.1909
2020001111,2020年11月,89.9426,23.8181,8.1064,5.8268,3.9189,3.4142,4.6188,15.3315,2.6954,8.6621,13.5508,103.1452,30.1495,9.1598,7.0117,4.6877,3.7111,4.8365,15.3776,2.6399,10.2753,15.5399
2020001212,2020年12月,101.0286,29.2109,8.1572,6.4249,4.7739,3.6354,4.6682,15.0977,2.4512,9.9232,16.6858,116.1249,37.2113,9.2276,7.7972,5.7035,3.9994,4.8985,15.1128,2.4008,11.7019,19.179
2021000101,2021年1月,85.7046,21.978,6.7496,7.5938,3.5574,2.7515,4.118,14.1644,2.1863,7.5208,15.0852,97.9481,27.6801,7.508,9.2382,4.2655,3.1126,4.3211,14.1786,2.1413,8.6248,17.2402
2021000202,2021年2月,81.1771,21.4965,6.6609,7.9099,3.2159,2.1942,3.9963,13.6678,2.4999,7.1713,12.3644,92.88,27.1764,7.4092,9.5877,3.8606,2.4793,4.1934,13.6678,2.4485,8.2524,14.1469
2021000303,2021年3月,98.919,23.6724,8.7115,8.0556,3.9025,3.2377,4.5738,17.4766,4.4048,8.9778,15.9061,112.9212,30.0411,9.6794,9.6706,4.6849,3.5895,4.7793,17.4417,4.3142,10.2838,18.1576
2021000404,2021年4月,94.5546,22.7022,8.1626,6.813,3.5416,3.0197,4.3425,15.5517,7.3844,8.8202,14.2163,109.0595,28.8465,9.0595,8.0627,4.2465,3.3038,4.5471,16.6863,7.1554,10.0458,16.3971
2021000505,2021年5月,88.633,23.5786,7.5898,6.1926,4.0096,2.7849,4.3589,15.0529,3.3193,8.0183,13.7276,101.8771,29.8464,8.4238,7.1839,4.8019,3.0469,4.5596,16.0994,3.2133,9.1014,15.7789
2021000606,2021年6月,84.6894,22.864,7.7173,5.6442,4.3124,2.922,4.5433,13.5226,1.9858,7.9414,13.2368,97.2324,28.796,8.5653,6.5025,5.1522,3.2109,4.7574,14.4626,1.9205,9.0759,15.1973
2021000707,2021年7月,87.2755,24.2119,7.437,5.1952,4.7502,2.7408,4.4849,14.5547,1.9339,8.3205,13.6461,99.8575,30.5705,8.245,5.951,5.6483,3.0658,4.6913,15.4018,1.8703,9.3911,15.6134
2021000808,2021年8月,85.5138,24.3501,7.5648,5.7297,4.33,1.9736,4.36,13.4466,2.0169,8.3778,13.3647,97.8419,30.6677,8.3867,6.5633,5.1425,2.2326,4.5559,14.3507,1.9525,9.3816,15.2914
2021000909,2021年9月,86.6576,22.8107,7.4524,5.8353,3.5266,2.149,4.6114,14.5189,4.108,7.6754,13.9697,98.8114,28.3011,8.2529,6.616,4.2184,2.3487,4.8236,15.5282,3.9729,8.732,15.9289
2021001010,2021年10月,90.0561,23.9244,7.7793,5.806,3.73,2.9742,4.7556,14.6112,4.9722,8.618,12.8853,102.8037,29.8682,8.6054,6.4944,4.4617,3.2434,4.9901,15.8301,4.8087,9.7599,14.7093
2021001111,2021年11月,90.1305,23.7376,7.6525,6.0011,3.8635,3.6165,4.8935,14.8482,2.5772,8.7487,14.1916,102.6544,29.6349,8.4651,6.6164,4.6049,3.9267,5.1348,16.0002,2.4925,9.953,16.1636
2021001212,2021年12月,101.8605,29.7071,8.3019,6.7313,4.3969,3.7285,4.587,14.9212,2.6681,10.1363,16.6822,116.0143,37.0413,9.1733,7.3486,5.2911,4.0883,4.8183,16.131,2.5804,11.5054,19.0002
2022000101,2022年1月,89.4009,22.699,6.8832,8.3412,3.7035,2.8669,4.1449,14.8421,2.1136,8.0001,15.8062,101.5919,27.9889,7.6141,8.9981,4.4674,3.2032,4.3539,16.0629,2.0441,9.1222,17.9616
2022000202,2022年2月,82.5732,21.3959,6.6054,9.4167,2.9943,2.0137,3.9336,14.0008,2.5371,7.4592,12.2162,93.4086,26.3172,7.2907,9.9019,3.625,2.2449,4.1276,15.1033,2.4537,8.4668,13.8192
2022000303,2022年3月,96.6041,23.8313,7.2239,9.2448,3.6601,3.2778,4.4159,16.5035,4.0482,9.0887,15.31,108.7884,29.2768,7.9559,9.5308,4.3729,3.6059,4.6337,17.7267,3.9113,10.2814,17.241
2022000404,2022年4月,94.284,23.3456,7.3282,8.1551,3.619,3.2617,4.2723,14.1283,7.1505,9.2653,13.7585,105.5811,28.5398,8.0265,8.3385,4.2427,3.5377,4.5019,15.1917,6.8689,10.3871,15.407
2022000505,2022年5月,91.4043,24.793,7.3139,7.1925,4.0131,3.155,4.306,14.3857,3.3193,9.2745,13.6514,102.0137,30.1617,7.9846,7.2946,4.6448,3.4219,4.5374,15.5018,3.1886,10.351,15.2359
