Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,年月,総合,食料,穀類,米類,うるち米Ａ,うるち米Ｂ,パン,食パン,あんパン,カレーパン,麺類,ゆでうどん,そうめん,スパゲッティ,カップ麺,中華麺,他の穀類,小麦粉,もち,シリアル,魚介類,生鮮魚介,まぐろ,あじ,いわし,かつお,さけ,さば,さんま,たい,ぶり,いか,たこ,えび,あさり,かき（貝）,ほたて貝,塩干魚介,塩さけ,たらこ,しらす干し,干しあじ,ししゃも,いくら,塩さば,魚肉練製品,揚げかまぼこ,ちくわ,かまぼこ,他の魚介加工品,かつお節,魚介漬物,魚介つくだ煮,魚介缶詰,肉類,生鮮肉,牛肉（国産品）,牛肉（輸入品）,豚肉（国産品）,豚肉（輸入品）,鶏肉,加工肉,ハム,ソーセージ,ベーコン,味付け肉,乳卵類,牛乳・乳製品,牛乳,牛乳,乳製品,粉ミルク,ヨーグルト,バター,チーズ（国産品）,チーズ（輸入品）,卵,鶏卵,野菜・海藻,生鮮野菜,キャベツ,ほうれんそう,はくさい,ねぎ,レタス,ブロッコリー,もやし,アスパラガス,さつまいも,じゃがいも,さといも,だいこん,にんじん,ごぼう,たまねぎ,れんこん,ながいも,しょうが,えだまめ,さやいんげん,かぼちゃ,きゅうり,なす,トマト,ピーマン,生しいたけ,えのきたけ,しめじ,カット野菜,乾物・加工品類,乾物・海藻,干ししいたけ,干しのり,わかめ,こんぶ,ひじき,大豆加工品,豆腐,油揚げ,納豆,他の野菜・海藻加工品,こんにゃく,梅干し,だいこん漬,キムチ,こんぶつくだ煮,野菜缶詰,果物,生鮮果物,りんご,みかん,オレンジ,しらぬひ,梨,ぶどう,柿,桃,すいか,メロン,いちご,バナナ,キウイフルーツ,さくらんぼ,アボカド,パイナップル,果物加工品,ナッツ,油脂・調味料,油脂,食用油,マーガリン,調味料,食塩,しょう油,みそ,砂糖,酢,ソース,ケチャップ,マヨネーズ,ドレッシング,ジャム,カレールウ,乾燥スープ,風味調味料,ふりかけ,たれ,つゆ,合わせ調味料,パスタソース,香辛料,菓子類,ようかん,まんじゅう,だいふく餅,カステラ,ケーキ,ゼリー,プリン,シュークリーム,ロールケーキ,せんべい,ビスケット,ポテトチップス,キャンデー,チョコレート,アイスクリーム,落花生,チューインガム,グミ,調理食品,主食的調理食品,すし（弁当）Ａ,すし（弁当）Ｂ,弁当Ａ,弁当Ｂ,弁当Ｃ,おにぎり,調理パン,冷凍米飯,調理パスタ,調理ピザ,たこ焼き,無菌包装米飯,他の調理食品,うなぎかば焼き,サラダ,コロッケ,豚カツ,からあげ,ぎょうざ,やきとり,ハンバーグ,冷凍調理コロッケ,冷凍調理ハンバーグ,冷凍ぎょうざ,調理カレー,混ぜごはんのもと,煮豆,焼き魚,きんぴら,焼豚,サラダチキン,おでん,ミートボール,飲料,茶類,緑茶,紅茶,茶飲料,コーヒー・ココア,インスタントコーヒー,コーヒー豆,コーヒー飲料Ａ,コーヒー飲料Ｂ,他の飲料,果実ジュース,果汁入り飲料,野菜ジュース,炭酸飲料Ａ,炭酸飲料Ｂ,炭酸飲料Ｃ,乳酸菌飲料,ミネラルウォーター,宅配水,スポーツドリンク,豆乳,ゼリー飲料,酒類,清酒,焼酎,ビール,発泡酒,ウイスキー,ワイン（国産品）,ワイン（輸入品）,チューハイ,外食,一般外食,うどん（外食）,日本そば（外食）,中華そば（外食）,スパゲッティ（外食）,すし（外食）Ａ,すし（外食）Ｂ,天丼（外食）,カレーライス（外食）,牛丼（外食）,豚カツ定食（外食）,しょうが焼き定食（外食）,フライドチキン（外食）,ぎょうざ（外食）,ハンバーグ（外食）,焼肉（外食）,ハンバーガー（外食）,サンドイッチ（外食）,ピザ（配達）,ドーナツ（外食）,コーヒー（外食）Ａ,コーヒー（外食）Ｂ,ビール（外食）,やきとり（外食）,学校給食,学校給食（小学校）,学校給食（中学校）,住居,家賃,民営家賃,民営家賃,公営・都市再生機構・公社家賃,公営家賃,都市再生機構・公社家賃,持家の帰属家賃,持家の帰属家賃,設備修繕・維持,設備材料,システムバス,温水洗浄便座,給湯器,システムキッチン,カーポート,修繕材料,工事その他のサービス,畳替え代,水道工事費,塀工事費,外壁塗装費,屋根修理費,植木職手間代,ふすま張替費,大工手間代,駐車場工事費,壁紙張替費,火災・地震保険料,光熱・水道,電気代,電気代,ガス代,都市ガス代,プロパンガス,他の光熱,灯油,上下水道料,水道料,下水道料,家具・家事用品,家庭用耐久財,家事用耐久財,電子レンジ,電気炊飯器,ガステーブル,冷蔵庫,掃除機,洗濯機（全自動洗濯機）,洗濯機（洗濯乾燥機）,冷暖房用器具,ルームエアコン,温風ヒーター,空気清浄機,一般家具,食堂セット,ソファ,食器戸棚,室内装備品,照明器具,カーペット,カーテン,クッション,寝具類,ベッド,布団,シーツ,布団カバー,敷きパッド,家事雑貨,食器類,茶わん,皿,台所用品,水筒,鍋,フライパン,スポンジたわし,他の家事雑貨,電球・ランプ,タオル,マット,物干し用ハンガー,収納ケース,家事用消耗品,ティシュ・トイレットペーパー,ティシュペーパー,トイレットペーパー,洗剤,台所用洗剤,洗濯用洗剤,他の家事用消耗品,ラップ,ポリ袋,殺虫剤,柔軟仕上剤,芳香・消臭剤,キッチンペーパー,漂白剤,家事サービス,家事代行料,家事代行料,清掃代,リサイクル料金,浄化槽清掃代,他の家事サービス,モップレンタル料,被服及び履物,衣料,和服,女性用着物,洋服,男性用洋服,男性用スーツ（春夏物，中級品）,男性用スーツ（春夏物，普通品）,男性用スーツ（秋冬物，中級品）,男性用スーツ（秋冬物，普通品）,男性用上着,男性用ズボン（春夏物）,男性用ズボン（秋冬物）,男性用ズボン（ジーンズ）,男性用コート,男性用学校制服,女性用洋服,女性用スーツ（春夏物，中級品）,女性用スーツ（春夏物，普通品）,女性用スーツ（秋冬物，中級品）,女性用スーツ（秋冬物，普通品）,ワンピース（春夏物）,ワンピース（秋冬物）,女性用上着,スカート（春夏物）,スカート（秋冬物）,女性用スラックス（秋冬物）,女性用スラックス（ジーンズ）,女性用コート,女性用学校制服,子供用洋服,子供用ズボン（春夏物）,子供用ズボン（秋冬物）,乳児服,シャツ・セーター・下着類,シャツ・セーター類,男性用シャツ・セーター類,ワイシャツ,男性用スポーツシャツ（長袖）,男性用スポーツシャツ（半袖）,男性用セーター,女性用シャツ・セーター類,ブラウス（長袖）,ブラウス（半袖）,女性用Ｔシャツ（長袖）,女性用Ｔシャツ（半袖）,女性用セーター（長袖）,女性用セーター（半袖）,子供用シャツ・セーター類,子供用Ｔシャツ（長袖）,子供用Ｔシャツ（半袖）,下着類,男性用下着類,男性用シャツ（半袖）,男性用パンツ,男性用パジャマ,女性用下着類,ブラジャー,女性用ショーツ,ランジェリー,子供用下着類,子供用下着,履物類,男性用靴,女性用靴,子供靴,運動靴,サンダル,スリッパ,他の被服,帽子,マフラー,男性用靴下,女性用靴下,ベルト,被服関連サービス,クリーニング代Ａ,クリーニング代Ｂ,履物修理代,被服賃借料,保健医療,医薬品・健康保持用摂取品,総合かぜ薬,解熱鎮痛剤,胃腸薬,ビタミン剤Ａ,ビタミン剤Ｂ,ドリンク剤,皮膚病薬,はり薬,目薬,漢方薬,鼻炎薬,サプリメント,プロテインパウダー,保健医療用品・器具,紙おむつ（乳幼児用）,紙おむつ（大人用）,生理用ナプキン,入浴剤,コンタクトレンズ用剤,マスク,軽度失禁用品,眼鏡,コンタクトレンズ,血圧計,補聴器,サポーター,保健医療サービス,診療代,マッサージ料金,人間ドック受診料,予防接種料,交通・通信,交通,鉄道運賃（ＪＲ）,普通運賃（ＪＲ）,料金（ＪＲ，在来線）,料金（ＪＲ，新幹線）,通学定期（ＪＲ）,通勤定期（ＪＲ）,鉄道運賃（ＪＲ以外）,普通運賃（ＪＲ以外）,通学定期（ＪＲ以外）,通勤定期（ＪＲ以外）,他の交通,一般路線バス代,高速バス代,タクシー代,航空運賃,有料道路料,高速自動車国道料金,都市高速道路料金,自動車等関係費,自動車,軽乗用車,小型乗用車,普通乗用車Ａ,普通乗用車Ｂ,自転車,自転車Ａ,自転車Ｂ,自動車等維持,ガソリン,自動車タイヤ,自動車バッテリー,カーナビゲーション,ドライブレコーダー,ヘルメット,自動車整備費（定期点検）,自動車整備費（パンク修理）,自動車オイル交換料,車庫借料,駐車料金,自動車免許手数料,レンタカー料金,カーリース,洗車代,ロードサービス料,自動車保険料（自賠責）,自動車保険料（任意）,通信,はがき,封書,通信料（固定電話）,通信料（携帯電話）,運送料,携帯電話機,教育,授業料等,ＰＴＡ会費（小学校）,ＰＴＡ会費（中学校）,中学校授業料（私立）,高等学校授業料（公立）,高等学校授業料（私立）,大学授業料（国立）,大学授業料（私立）,短期大学授業料（私立）,専修学校授業料（私立）,教科書・学習参考教材,教科書,学習参考教材,補習教育,補習教育（小学校）,補習教育（中学校）,補習教育（高校・予備校）,通信教育,教養娯楽,教養娯楽用耐久財,テレビ,ビデオレコーダー,パソコン（デスクトップ型）,パソコン（ノート型）,タブレット端末,プリンタ,カメラ,ピアノ,学習用机,ヘッドホン・イヤホン,教養娯楽用品,文房具,ボールペン,ノートブック,はさみ,運動用具類,ゴルフクラブ,グローブ,テニスラケット,釣ざお,トレーニングパンツ,水着,競技用靴,玩具,家庭用ゲーム機,ゲームソフト,人形,玩具自動車,組立玩具,切り花,切り花（カーネーション）,切り花（きく）,切り花（バラ）,他の教養娯楽用品,メモリーカード,コンパクトディスク,ビデオソフト,ペットフード（ドッグフード）,ペットフード（キャットフード）,ペットトイレ用品,鉢植え,園芸用土,園芸用肥料,電池,プリンタ用インク,書籍・他の印刷物,新聞代,新聞代（地方・ブロック紙）,新聞代（全国紙）,雑誌,月刊誌,週刊誌,書籍,単行本Ａ,単行本Ｂ,教養娯楽サービス,宿泊料,宿泊料,パック旅行費,外国パック旅行費,月謝類,講習料（英会話）,講習料（書道）,講習料（音楽）,講習料（ダンス）,講習料（水泳）,講習料（体育）,自動車教習料,他の教養娯楽サービス,放送受信料,放送受信料（ＮＨＫ）,放送受信料（ケーブル）,放送受信料（ＮＨＫ・ケーブル以外）,入場・観覧・ゲーム代,映画観覧料,演劇観覧料,プロ野球観覧料,ゴルフ練習料金,ゴルフプレー料金,ボウリングゲーム代,プール使用料,フィットネスクラブ使用料,文化施設入場料,テーマパーク入場料,カラオケルーム使用料,他の娯楽サービス,写真撮影代,インターネット接続料,ウェブコンテンツ利用料,資格試験,獣医代,ペット美容院代,ペット保険料,諸雑費,理美容サービス,入浴料,理髪料,パーマネント代,カット代,ヘアカラーリング代,エステティック料金,理美容用品,理容器具,電気かみそり,ヘアドライヤー,歯ブラシ,石けん類,手洗い用石けん,ボディーソープ,洗顔料,クレンジング,シャンプー,ヘアコンディショナー,歯磨き,化粧品,整髪料,養毛剤,化粧クリームＡ,化粧クリームＢ,化粧水Ａ,化粧水Ｂ,乳液Ａ,乳液Ｂ,ファンデーションＡ,ファンデーションＢ,口紅Ａ,口紅Ｂ,ヘアカラーリング剤,美容液,制汗剤,身の回り用品,かばん類,バッグＡ,バッグＢ,通学用かばん,旅行用かばん,腕時計・指輪,指輪,腕時計,他の身の回り用品,傘,ハンカチーフ,たばこ,たばこ（国産品）,たばこ（輸入品）,他の諸雑費,葬儀料,傷害保険料,保育所保育料,学童保育料,介護料,行政証明書手数料,パスポート取得料,警備料,生鮮食品,生鮮魚介,生鮮野菜,生鮮果物,生鮮食品を除く総合,生鮮食品を除く食料,持家の帰属家賃を除く総合,持家の帰属家賃を除く住居,持家の帰属家賃を除く家賃,持家の帰属家賃及び生鮮食品を除く総合,エネルギー,生鮮食品及びエネルギーを除く総合,食料（酒類を除く）及びエネルギーを除く総合,教育関係費,教養娯楽関係費,情報通信関係費,総合,財,農水畜産物,生鮮商品,他の農水畜産物,工業製品,食料工業製品,繊維製品,石油製品,他の工業製品,電気・都市ガス・水道,出版物,サービス,公共サービス,外食,公営・都市再生機構・公社家賃,家事関連サービス,医療・福祉関連サービス,運輸・通信関連サービス,教育関連サービス,教養娯楽関連サービス,一般サービス,外食,民営家賃,持家の帰属家賃,他のサービス,家事関連サービス,医療・福祉関連サービス,教育関連サービス,通信・教養娯楽関連サービス,米類,耐久消費財,半耐久消費財,非耐久消費財,公共料金,生鮮食品を除く財,持家の帰属家賃を除くサービス,民営家賃（木造）,民営家賃（非木造）,持家の帰属家賃（木造）,持家の帰属家賃（非木造）
,,,,,,,2025年1月,99.287,99.010,92.399,83.511,83.522,83.506,98.911,98.419,99.124,99.526,99.024,98.005,98.195,100.271,98.771,100.281,92.837,97.440,88.123,96.530,98.955,100.265,101.099,101.565,106.519,,97.766,97.438,,100.432,104.376,102.291,100.311,100.510,106.922,97.097,87.017,96.096,96.095,98.450,96.984,97.728,95.395,94.989,92.223,97.632,96.649,98.109,98.089,98.751,99.888,97.214,97.713,100.276,98.578,98.330,99.630,99.412,98.402,99.096,96.344,99.665,99.164,100.849,97.064,99.352,95.643,96.916,97.968,97.968,96.255,100.164,96.066,91.974,95.670,98.837,91.935,91.935,110.620,117.328,209.131,118.291,115.145,115.760,196.889,131.927,98.875,133.457,97.099,91.570,95.975,112.495,92.182,93.119,93.103,97.613,98.378,76.277,,111.528,108.567,127.303,140.654,115.033,116.011,110.585,121.555,114.327,96.708,96.969,95.342,93.166,94.650,97.340,91.340,98.525,99.073,98.510,99.383,99.487,95.956,99.037,98.058,93.216,94.574,93.472,98.749,110.244,111.495,97.850,117.548,98.494,,,,,,,,125.237,101.214,106.480,,98.939,98.016,97.444,97.444,98.164,99.214,99.721,95.550,98.039,99.729,100.680,96.017,99.557,99.638,99.993,101.527,98.833,96.533,88.110,92.959,100.736,100.337,95.074,97.999,99.521,97.731,95.376,100.154,96.766,97.463,98.061,96.926,97.329,97.075,99.222,98.754,98.347,96.886,99.157,98.746,97.498,97.741,84.008,100.348,99.015,91.002,100.659,97.117,96.088,96.577,93.480,97.655,96.871,97.758,92.034,99.643,90.806,101.394,100.754,95.231,86.579,97.900,100.239,98.272,97.905,98.118,98.848,96.246,99.038,101.940,98.736,100.182,95.751,92.318,100.757,98.933,94.772,95.592,99.685,98.921,96.704,94.392,97.469,101.859,98.035,97.184,104.357,89.222,88.133,82.027,96.036,90.230,99.285,89.736,98.006,99.773,100.148,101.808,94.347,100.000,101.079,100.000,100.603,99.996,99.150,96.979,99.082,100.201,96.633,94.929,101.111,98.931,93.379,94.279,98.530,97.974,97.974,97.882,98.325,98.317,97.398,96.607,97.486,97.989,98.556,97.646,96.537,100.000,98.213,97.627,99.078,95.835,97.645,99.740,95.474,97.924,99.105,97.816,97.592,114.460,114.219,114.940,99.587,99.785,99.692,99.692,99.428,99.349,99.596,99.799,99.799,98.444,99.579,97.204,104.606,100.230,97.925,96.921,98.592,97.923,95.731,97.218,96.264,97.472,97.672,98.944,98.149,98.550,98.651,98.286,98.190,102.217,103.364,103.364,101.500,102.456,99.754,98.923,98.923,100.804,101.866,99.292,98.428,97.579,98.214,97.745,103.731,100.981,90.236,106.069,94.614,104.531,96.318,96.260,95.073,99.233,98.975,99.006,99.028,98.505,100.187,102.430,99.931,98.279,100.079,99.520,99.128,99.705,99.659,99.458,99.596,99.413,97.496,97.738,97.435,99.989,100.441,100.052,99.856,99.687,99.476,97.672,99.926,99.484,99.785,99.786,98.087,97.402,97.737,97.210,95.709,100.269,92.817,100.012,101.815,100.278,100.746,98.307,99.428,98.306,101.189,99.142,99.368,99.368,98.817,100.000,98.345,100.000,100.000,98.097,97.647,98.818,98.818,97.617,97.197,97.885,96.348,95.576,97.339,97.341,97.005,97.840,99.482,92.494,99.702,97.640,98.352,98.670,96.953,99.249,101.054,93.959,99.910,98.020,98.124,96.801,99.141,91.637,99.642,98.714,100.613,97.501,98.513,97.764,96.684,98.402,100.190,96.887,99.339,95.849,95.654,98.792,99.043,92.444,96.936,93.287,99.448,96.630,95.740,97.966,100.047,99.992,100.671,100.211,97.971,100.542,100.015,100.248,101.038,97.723,97.723,99.381,99.956,99.381,97.316,99.635,98.884,100.975,99.401,99.078,94.628,99.700,100.170,100.390,97.856,98.188,97.231,97.869,98.379,98.702,94.803,100.083,97.543,99.996,100.068,100.197,100.194,90.460,98.581,101.067,100.182,98.075,95.883,71.655,99.568,99.858,99.850,100.261,98.874,99.733,100.751,99.259,99.282,98.801,99.033,100.256,99.877,100.163,100.246,99.226,99.461,99.960,98.777,98.712,98.894,99.120,98.985,98.697,98.941,98.560,99.782,99.485,102.165,99.624,96.846,97.685,99.418,99.679,94.572,100.099,100.131,100.000,99.932,99.085,99.265,98.529,99.390,98.525,99.391,98.971,100.021,100.286,102.760,98.216,101.483,96.781,101.129,99.992,99.728,98.827,98.211,99.853,99.228,91.954,100.168,99.280,97.416,100.000,100.000,99.328,95.641,100.000,100.000,99.094,94.486,100.667,96.918,102.101,103.594,102.416,102.250,98.891,331.616,109.254,99.850,99.411,99.550,99.614,99.135,98.126,100.000,98.141,98.559,98.905,96.241,100.000,97.625,101.276,97.740,91.841,101.496,100.887,109.431,99.502,99.959,105.611,100.071,101.717,97.512,96.472,97.760,95.658,97.190,98.896,104.639,98.218,98.094,101.114,96.802,90.740,98.599,99.016,100.015,99.904,99.957,92.184,101.173,104.700,100.094,106.084,104.236,94.732,97.835,92.804,99.311,90.233,81.421,102.990,98.613,98.024,99.940,99.540,99.744,99.325,99.827,99.615,100.000,101.251,101.606,99.833,97.208,98.947,94.890,96.923,90.416,90.416,98.740,98.740,98.927,97.840,99.452,99.502,97.887,98.949,99.048,99.039,98.635,99.891,100.000,99.759,100.000,96.546,99.849,100.000,100.877,98.991,89.956,98.177,99.747,98.815,97.806,94.950,96.684,99.804,98.176,100.000,100.000,100.000,99.839,98.755,100.000,99.952,99.091,98.144,99.549,99.405,99.340,99.194,97.553,99.652,101.830,100.261,105.568,100.349,98.268,100.053,99.361,100.554,99.429,95.176,95.649,100.727,100.075,99.685,101.568,100.000,99.845,98.734,100.150,98.864,100.000,100.000,100.000,100.000,100.001,100.651,100.000,106.211,99.009,98.935,97.578,98.558,99.346,101.055,98.956,98.345,99.489,99.468,99.489,99.428,99.583,99.028,100.000,100.974,98.956,99.872,107.818,98.803,100.000,99.643,100.471,99.137,111.466,100.265,117.328,111.495,98.808,97.023,99.187,98.956,99.680,98.605,102.631,98.485,98.985,102.254,97.694,96.935,99.287,99.453,102.920,105.975,83.511,98.220,97.075,98.052,101.713,98.790,102.985,99.313,99.119,100.605,114.460,99.428,99.332,101.113,98.901,142.629,99.894,98.706,97.974,99.692,99.799,97.643,98.676,99.369,100.009,95.926,83.511,99.037,98.505,99.685,101.362,98.476,98.785,99.917,99.610,99.917,99.559
,,,,,,,2025年2月,98.934,98.650,95.358,88.970,88.855,89.023,99.803,99.999,99.590,100.009,100.456,98.761,99.393,100.386,101.660,100.177,95.776,98.947,90.227,101.046,99.320,100.364,99.197,98.057,100.191,,98.473,98.149,,99.515,108.073,111.736,100.147,98.483,101.993,96.498,89.447,96.838,96.400,99.185,96.772,98.374,95.248,97.373,94.133,97.981,97.498,97.967,98.371,99.635,100.250,98.662,98.187,100.859,98.370,98.096,98.616,98.409,98.310,99.627,96.235,99.573,99.492,100.566,97.048,99.013,96.299,96.902,97.895,97.895,96.279,100.036,95.986,91.646,96.391,98.584,94.542,94.542,103.813,106.993,157.671,95.671,125.013,99.243,150.396,115.732,99.129,108.980,95.348,98.118,95.060,95.744,91.532,97.195,93.481,94.777,97.577,88.680,,105.732,106.032,122.177,126.033,93.832,118.854,103.671,106.492,108.742,95.637,97.343,95.624,93.995,94.535,97.781,92.687,98.929,99.206,98.393,99.230,100.061,96.636,99.027,98.754,93.990,95.735,94.264,98.824,108.339,109.412,99.405,127.509,102.813,103.086,,,,,,,110.860,99.921,119.104,,105.633,98.966,97.360,97.360,98.031,98.567,99.029,95.231,97.967,99.698,101.079,96.115,98.967,99.562,99.227,100.765,98.117,96.091,89.219,93.589,100.751,101.259,95.757,97.429,97.869,100.570,93.264,100.475,96.636,98.561,99.001,99.028,97.936,97.759,98.927,98.947,98.697,96.916,98.577,97.623,96.817,97.746,82.523,100.211,98.985,91.181,98.430,97.652,96.970,98.060,95.684,98.082,97.047,97.500,93.597,99.036,95.137,100.888,100.605,97.104,89.131,98.172,99.167,98.990,98.121,98.839,99.407,96.477,99.437,101.499,100.008,99.021,95.661,92.050,101.923,98.510,95.138,96.671,100.555,99.158,98.013,94.522,97.404,100.032,97.867,96.231,101.608,90.031,88.981,83.608,96.356,90.230,99.512,89.961,98.401,100.906,100.532,101.661,94.498,100.000,100.588,100.000,100.502,100.032,100.155,96.893,98.085,100.359,96.422,95.171,101.120,98.550,93.956,94.423,98.740,98.193,98.242,97.996,98.407,98.354,98.688,97.098,97.564,98.099,98.556,97.755,96.664,100.000,98.750,97.820,98.954,95.835,97.747,99.792,95.474,98.199,99.105,98.041,97.730,114.416,114.178,114.891,99.599,99.772,99.704,99.704,99.400,99.297,99.621,99.783,99.783,98.598,99.386,98.663,105.327,98.528,97.925,96.926,99.818,98.236,99.340,97.635,96.489,97.472,97.672,99.061,98.252,98.728,98.651,98.368,99.059,97.628,95.735,95.735,98.330,97.744,99.398,101.732,101.732,100.782,101.828,99.292,98.210,96.949,98.535,98.303,103.057,99.118,96.287,104.748,90.392,100.917,94.062,93.975,90.860,100.551,99.630,98.780,100.045,98.743,99.889,102.221,99.467,98.378,99.190,99.408,98.603,100.267,100.117,99.561,98.146,99.609,97.624,97.890,97.557,100.237,101.301,100.216,99.885,99.854,99.658,98.139,99.890,99.723,100.206,100.002,98.013,97.343,97.742,97.114,95.875,100.036,93.236,99.768,101.334,99.004,100.948,98.272,99.079,98.276,101.856,99.142,99.368,99.368,98.817,100.000,98.345,100.000,100.000,98.249,98.498,99.504,99.504,98.472,97.266,97.885,96.348,94.858,96.106,95.399,97.005,97.446,99.473,99.821,100.027,99.206,98.352,98.670,100.079,99.527,101.054,96.174,99.023,98.020,98.559,96.569,100.610,99.403,99.940,98.861,100.613,97.453,99.762,97.380,96.207,97.662,99.671,99.196,99.339,90.666,95.170,98.127,99.043,97.918,96.936,86.429,99.448,97.271,96.808,97.966,99.861,100.483,100.561,100.257,100.571,99.900,99.736,100.127,99.736,98.033,98.033,99.165,99.506,99.272,97.222,99.675,98.412,99.873,98.643,98.000,90.199,99.688,99.636,100.455,98.265,98.570,97.798,98.343,98.515,98.626,94.482,99.820,97.833,100.175,100.110,100.223,100.092,91.110,98.721,101.646,100.414,97.821,95.883,68.771,99.555,99.997,100.236,100.353,98.753,99.051,99.848,99.117,99.558,98.829,98.855,100.224,99.928,100.176,100.246,99.590,99.461,99.905,98.899,98.195,98.400,99.120,96.106,97.756,98.941,98.560,99.976,99.709,102.257,99.801,96.685,97.830,99.450,99.663,94.199,97.558,96.769,100.000,100.220,99.209,99.265,99.240,99.390,98.525,99.758,99.703,99.840,100.640,103.853,98.246,101.280,97.020,100.623,100.327,99.844,99.106,98.468,99.853,99.328,91.954,98.833,99.251,97.645,100.000,100.000,99.328,95.641,100.000,100.000,99.094,94.486,100.667,96.918,102.206,103.593,102.397,102.250,98.891,331.616,109.254,99.850,99.411,99.550,99.614,99.135,98.126,100.000,98.552,99.634,99.167,96.241,100.000,98.221,102.162,100.823,99.352,100.772,99.979,111.270,99.896,101.381,105.611,99.694,103.479,98.022,97.691,97.920,97.874,97.029,99.947,104.985,99.782,99.560,101.706,97.132,94.985,99.526,99.207,100.019,100.098,99.956,92.161,101.604,103.752,99.033,105.552,102.512,95.273,104.425,96.142,100.262,90.988,82.365,103.151,98.519,98.625,100.145,99.501,98.278,99.228,99.827,99.615,100.000,99.061,99.642,96.735,97.383,99.253,94.890,97.618,94.415,94.415,92.968,92.968,98.967,97.840,99.452,99.558,97.887,98.960,99.052,99.207,98.740,99.913,100.000,99.807,100.000,96.795,99.849,100.000,100.877,99.001,90.404,98.305,99.747,98.824,97.806,96.403,95.938,99.828,98.451,100.000,100.000,100.000,99.839,98.916,100.000,99.872,99.145,98.388,99.589,99.411,99.342,99.292,97.599,99.318,101.246,97.919,105.479,100.627,97.888,99.342,98.267,101.762,99.505,94.043,94.438,101.265,99.800,99.372,101.465,100.000,99.773,98.734,99.988,98.864,100.000,100.000,100.000,100.000,100.001,98.579,100.000,103.787,99.112,98.919,97.905,98.558,98.886,101.041,99.573,98.814,100.236,99.649,99.614,99.719,99.583,99.028,100.000,100.948,98.985,99.872,107.786,98.013,100.000,99.643,100.471,99.137,105.908,100.364,106.993,109.412,98.659,97.492,98.768,99.050,99.691,98.429,98.643,98.660,99.050,102.396,98.182,96.939,98.934,98.651,100.851,102.721,88.970,98.439,97.312,98.258,102.790,98.831,97.001,99.222,99.220,100.569,114.416,99.400,99.449,101.109,98.496,142.629,99.914,98.846,98.193,99.704,99.783,97.940,98.780,99.322,100.122,96.441,88.970,99.010,98.736,98.572,99.366,98.061,98.944,99.892,99.638,99.888,99.578
