variant,series_index,official_series_code,series_name,month,raw_value,is_missing
nominal,1,1,消費支出（名目）,2005-01,98.3,false
nominal,2,2,食料（名目）,2005-01,21.9,false
nominal,3,3,住居（名目）,2005-01,6.1,false
nominal,4,4,光熱・水道（名目）,2005-01,7.9,false
nominal,5,5,家具・家事用品（名目）,2005-01,3.2,false
nominal,6,6,被服及び履物（名目）,2005-01,5.3,false
nominal,7,7,保健医療（名目）,2005-01,3.7,false
nominal,8,8,交通・通信（名目）,2005-01,14.1,false
nominal,9,9,教育（名目）,2005-01,3,false
nominal,10,10,教養娯楽（名目）,2005-01,9.8,false
nominal,11,11,その他の消費支出（名目）,2005-01,,true
nominal,12,12,消費支出（実質）,2005-01,119.4,false
nominal,13,13,食料（実質）,2005-01,31.7,false
nominal,14,14,住居（実質）,2005-01,7.1,false
nominal,15,15,光熱・水道（実質）,2005-01,11.3,false
nominal,16,16,家具・家事用品（実質）,2005-01,3.3,false
nominal,17,17,被服及び履物（実質）,2005-01,6.6,false
nominal,18,18,保健医療（実質）,2005-01,4,false
nominal,19,19,交通・通信（実質）,2005-01,14.3,false
nominal,20,20,教育（実質）,2005-01,2.6,false
nominal,21,21,教養娯楽（実質）,2005-01,10.7,false
nominal,22,22,その他の消費支出（実質）,2005-01,,true
nominal,1,1,消費支出（名目）,2005-02,90.3,false
nominal,2,2,食料（名目）,2005-02,20.6,false
nominal,3,3,住居（名目）,2005-02,6.4,false
nominal,4,4,光熱・水道（名目）,2005-02,8.3,false
nominal,5,5,家具・家事用品（名目）,2005-02,2.6,false
nominal,6,6,被服及び履物（名目）,2005-02,3.5,false
nominal,7,7,保健医療（名目）,2005-02,3.9,false
nominal,8,8,交通・通信（名目）,2005-02,14.4,false
nominal,9,9,教育（名目）,2005-02,3.5,false
nominal,10,10,教養娯楽（名目）,2005-02,9.3,false
nominal,11,11,その他の消費支出（名目）,2005-02,,true
nominal,12,12,消費支出（実質）,2005-02,110.2,false
nominal,13,13,食料（実質）,2005-02,29.9,false
nominal,14,14,住居（実質）,2005-02,7.5,false
nominal,15,15,光熱・水道（実質）,2005-02,11.9,false
nominal,16,16,家具・家事用品（実質）,2005-02,2.7,false
nominal,17,17,被服及び履物（実質）,2005-02,4.5,false
nominal,18,18,保健医療（実質）,2005-02,4.2,false
nominal,19,19,交通・通信（実質）,2005-02,14.7,false
nominal,20,20,教育（実質）,2005-02,3.1,false
nominal,21,21,教養娯楽（実質）,2005-02,10.2,false
nominal,22,22,その他の消費支出（実質）,2005-02,,true
nominal,1,1,消費支出（名目）,2005-03,108.4,false
nominal,2,2,食料（名目）,2005-03,22.7,false
nominal,3,3,住居（名目）,2005-03,6.7,false
nominal,4,4,光熱・水道（名目）,2005-03,7.8,false
nominal,5,5,家具・家事用品（名目）,2005-03,3.3,false
nominal,6,6,被服及び履物（名目）,2005-03,4.9,false
nominal,7,7,保健医療（名目）,2005-03,4.2,false
nominal,8,8,交通・通信（名目）,2005-03,19.3,false
nominal,9,9,教育（名目）,2005-03,5.3,false
nominal,10,10,教養娯楽（名目）,2005-03,10.8,false
nominal,11,11,その他の消費支出（名目）,2005-03,,true
nominal,12,12,消費支出（実質）,2005-03,131.7,false
nominal,13,13,食料（実質）,2005-03,32.9,false
nominal,14,14,住居（実質）,2005-03,7.9,false
nominal,15,15,光熱・水道（実質）,2005-03,11.2,false
nominal,16,16,家具・家事用品（実質）,2005-03,3.4,false
nominal,17,17,被服及び履物（実質）,2005-03,6,false
nominal,18,18,保健医療（実質）,2005-03,4.5,false
nominal,19,19,交通・通信（実質）,2005-03,19.6,false
nominal,20,20,教育（実質）,2005-03,4.6,false
nominal,21,21,教養娯楽（実質）,2005-03,11.8,false
nominal,22,22,その他の消費支出（実質）,2005-03,,true
nominal,1,1,消費支出（名目）,2005-04,106.9,false
nominal,2,2,食料（名目）,2005-04,22.3,false
nominal,3,3,住居（名目）,2005-04,7.1,false
nominal,4,4,光熱・水道（名目）,2005-04,7,false
nominal,5,5,家具・家事用品（名目）,2005-04,2.9,false
nominal,6,6,被服及び履物（名目）,2005-04,5.1,false
nominal,7,7,保健医療（名目）,2005-04,4.1,false
nominal,8,8,交通・通信（名目）,2005-04,16.4,false
nominal,9,9,教育（名目）,2005-04,8.3,false
nominal,10,10,教養娯楽（名目）,2005-04,11.1,false
nominal,11,11,その他の消費支出（名目）,2005-04,,true
nominal,12,12,消費支出（実質）,2005-04,129.8,false
nominal,13,13,食料（実質）,2005-04,32.4,false
nominal,14,14,住居（実質）,2005-04,8.4,false
nominal,15,15,光熱・水道（実質）,2005-04,10.1,false
nominal,16,16,家具・家事用品（実質）,2005-04,3.1,false
nominal,17,17,被服及び履物（実質）,2005-04,6,false
nominal,18,18,保健医療（実質）,2005-04,4.4,false
nominal,19,19,交通・通信（実質）,2005-04,16.5,false
nominal,20,20,教育（実質）,2005-04,7.1,false
nominal,21,21,教養娯楽（実質）,2005-04,12.1,false
nominal,22,22,その他の消費支出（実質）,2005-04,,true
nominal,1,1,消費支出（名目）,2005-05,97.1,false
nominal,2,2,食料（名目）,2005-05,23.7,false
nominal,3,3,住居（名目）,2005-05,7.9,false
nominal,4,4,光熱・水道（名目）,2005-05,6.4,false
nominal,5,5,家具・家事用品（名目）,2005-05,3.2,false
nominal,6,6,被服及び履物（名目）,2005-05,4.8,false
nominal,7,7,保健医療（名目）,2005-05,3.9,false
nominal,8,8,交通・通信（名目）,2005-05,14.5,false
nominal,9,9,教育（名目）,2005-05,2.9,false
nominal,10,10,教養娯楽（名目）,2005-05,10.8,false
nominal,11,11,その他の消費支出（名目）,2005-05,,true
nominal,12,12,消費支出（実質）,2005-05,117.6,false
nominal,13,13,食料（実質）,2005-05,34.5,false
nominal,14,14,住居（実質）,2005-05,9.3,false
nominal,15,15,光熱・水道（実質）,2005-05,9.1,false
