variant,series_index,series_name,month,raw_value,is_missing
seasonallyAdjusted,22,その他の消費支出（実質）,2020-01,17.2,false
seasonallyAdjusted,1,消費支出（名目）,2026-07,100.8,false
seasonallyAdjusted,2,食料（名目）,2026-07,29.8,false
seasonallyAdjusted,3,住居（名目）,2026-07,5.8,false
seasonallyAdjusted,4,光熱・水道（名目）,2026-07,7.1,false
seasonallyAdjusted,5,家具・家事用品（名目）,2026-07,4.5,false
seasonallyAdjusted,6,被服及び履物（名目）,2026-07,3.3,false
seasonallyAdjusted,7,保健医療（名目）,2026-07,5.1,false
seasonallyAdjusted,8,交通・通信（名目）,2026-07,16.5,false
seasonallyAdjusted,9,教育（名目）,2026-07,3.8,false
seasonallyAdjusted,10,教養娯楽（名目）,2026-07,10.4,false
seasonallyAdjusted,11,その他の消費支出（名目）,2026-07,13.9,false
seasonallyAdjusted,12,消費支出（実質）,2026-07,98.4,false
seasonallyAdjusted,13,食料（実質）,2026-07,28.7,false
seasonallyAdjusted,14,住居（実質）,2026-07,5.6,false
seasonallyAdjusted,15,光熱・水道（実質）,2026-07,7,false
seasonallyAdjusted,16,家具・家事用品（実質）,2026-07,4.3,false
seasonallyAdjusted,17,被服及び履物（実質）,2026-07,3.3,false
seasonallyAdjusted,18,保健医療（実質）,2026-07,4.9,false
seasonallyAdjusted,19,交通・通信（実質）,2026-07,16.1,false
seasonallyAdjusted,20,教育（実質）,2026-07,4,false
seasonallyAdjusted,21,教養娯楽（実質）,2026-07,10.3,false
seasonallyAdjusted,22,その他の消費支出（実質）,2026-07,13.5,false
